Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
32.0,4.144982310774689,4.145643257299466,0.0006609465247766622,0.015945701940839708,29775.975459925103,29778.407897150875,2.4324372257724463,0.008169126915913184,909201.6280761901,885385.9548788568,-23815.67319733335,-2.619405032052761,0.40082
33.0,4.229913587158551,4.226351364797237,-0.0035622223613138715,-0.08421501498584509,29780.85703088851,29783.213499816797,2.356468928286631,0.007912696823474613,796575.4488889792,774400.2577976204,-22175.191091358778,-2.783815534647415,-1.6765
34.0,4.268629287221082,4.262554603716151,-0.006074683504931677,-0.1423099336153961,29794.012955256512,29796.264341343674,2.2513860871622455,0.007556505028521299,528181.3674730603,508210.411969372,-19970.955503688252,-3.7810791393936976,-3.0094
35.0,4.271557386377207,4.265982901109639,-0.005574485267568541,-0.13050240845052472,29824.40008858166,29826.418091778673,2.018003197012149,0.006766282610944273,-64632.28665872939,-79931.90355725428,15299.616898524888,-23.67178648546003,-2.9658
36.0,4.272312158694625,4.267374650228109,-0.004937508466515972,-0.11556993691267617,29850.835017608446,29852.460807083924,1.6257894754780864,0.005446378550278623,-548984.5407259479,-556690.4107883027,7705.870062354719,-1.4036588447763734,-2.8139
37.0,4.2570114740132,4.253690162266201,-0.0033213117469985676,-0.07801979786226597,29868.231165614867,29869.37980722212,1.1486416072548309,0.003845696790297977,-836379.2722562428,-835165.2648462302,-1214.0074100126512,0.14515034629417667,-2.1029
38.0,4.25040863651591,4.247780786633649,-0.0026278498822609464,-0.061825817397524706,29877.49940145691,29878.25692160593,0.7575201490217296,0.0025354201797249164,-957846.2884506417,-949776.6341780972,-8069.654272544431,0.842479045943525,-1.7886
39.0,4.226605289848721,4.22543926732491,-0.0011660225238108168,-0.02758768429622041,29880.983341513453,29881.48632905657,0.5029875431173423,0.0016833031810520942,-968085.5076418086,-956055.0135207026,-12030.494121105992,1.242709866653357,-1.0515
40.0,4.19721162495877,4.197409821855072,0.00019819689630207193,0.004722108723884487,29880.068077472588,29880.437197207564,0.36911973497626605,0.0012353376639545064,-898629.6588179579,-885048.4016495642,-13581.257168393699,1.5113297268930843,-0.33154
41.0,4.181923931085034,4.182596793257641,0.0006728621726068695,0.016089775512303256,29872.846404384327,29873.196710024124,0.3503056397967157,0.001172655712330455,-714316.8535798767,-701371.4375936314,-12945.415986245265,1.812279231739795,-0.00027238
42.0,4.180689403593384,4.181172488723371,0.00048308512998751496,0.011555154744868009,29863.856474990276,29864.214930799015,0.358455808738654,0.0012002997973113276,-508918.5730904414,-496975.4721213307,-11943.100969110732,2.3467606805123005,0.012859
43.0,4.179975228467169,4.180292977677547,0.00031774921037719395,0.007601700799880461,29857.41637099317,29857.788970160236,0.3725991670653457,0.0012479283620378157,-365969.0222913021,-355006.74286257563,-10962.27942872647,2.995411841169653,0.012859
44.0,4.179390889418321,4.179591353111575,0.00020046369325399382,0.004796481079612391,29853.629815184555,29854.02758937703,0.39777419247548096,0.001332414835107119,-282079.42596755765,-272206.5065191909,-9872.919448366738,3.5000494681601615,0.012859
45.0,4.1789154833261355,4.179028768036736,0.00011328471060068068,0.002710863884485974,29851.027540689676,29851.455292505907,0.42775181623073877,0.0014329550821916396,-224479.7893214041,-215694.23848973078,-8785.550831673318,3.9137380065402696,0.012859
46.0,4.178525928597889,4.17857388342498,4.79548270915231e-5,0.0011476493842797434,29849.092242121802,29849.55043929302,0.45819717121776193,0.0015350455802845926,-181704.8240868855,-173933.43100343886,-7771.39308344663,4.276932724543733,0.012859
47.0,4.178205178043371,4.178205792015293,6.139719213038575e-7,1.4694633105389452e-5,29847.59145856044,29848.07924811749,0.48778955704983673,0.0016342677355627507,-148597.81299291694,-141755.56094033815,-6842.252052578784,4.604544249184157,0.012859
48.0,4.177940329316343,4.177905266499821,-3.5062816521325146e-5,-0.000839236890850058,29846.395284747097,29846.910946788925,0.5156620418274542,0.0017277196690180592,-122274.20322970147,-116270.6007180579,-6003.602511643563,4.909950220951623,0.012859
49.0,4.17710034716433,4.177066570919363,-3.377624496714304e-5,-0.0008086050647567615,29845.42274968552,29845.96405308103,0.5413033955082938,0.0018136898245611128,-100934.29588539895,-95678.48186780908,-5255.814017589873,5.207163701381875,0.026246
50.0,4.119070933777001,4.121830360745006,0.0027594269680051298,0.06699148940061735,29844.528259742518,29845.09282235689,0.5645626143741538,0.001891678801087622,-81576.08354987799,-76982.36725375692,-4593.716296121071,5.631204755389291,1.4175
51.0,4.0894774339017745,4.0939132593169365,0.004435825415161965,0.10846924788944828,29834.344382053194,29834.933871832196,0.5894897790021787,0.0019758764310463125,119958.20905762307,123889.13695225929,3930.9278946362174,3.276914456723807,2.3404
52.0,4.099341926887756,4.102650454727016,0.003308527839259945,0.08070875516773002,29813.34296248686,29814.00947038533,0.6665078984697175,0.002235602694096943,522960.6749220704,525235.8549501991,2275.1800281287287,0.43505757454282146,1.9203
53.0,4.072568202672332,4.07741192866537,0.004843725993038284,0.11893541745623644,29797.498862690118,29798.318994111,0.8201314208818076,0.002752349868896903,803643.9205317722,802845.3075462104,-798.6129855618346,-0.09937398456687029,2.8051
54.0,4.038195563752066,4.045598675149279,0.007403111397212392,0.18332721336392716,29782.915581316152,29784.009285185122,1.0937038689698966,0.003672252523376236,1.0492118384769177e6,1.0431394356861224e6,-6072.402790795313,-0.5787585088260424,4.2382
55.0,4.033955340053716,4.041062839828641,0.007107499774924975,0.17619183098914357,29757.29302587334,29758.94838834557,1.6553624722291715,0.005562879899021288,1.5040307812186952e6,1.487283889120856e6,-16746.892097839154,-1.113467377593787,4.2743
56.0,4.061298990829062,4.065340266752075,0.0040412759230124,0.09950697873114299,29730.92170797376,29733.35891739706,2.4372094233003736,0.00819755757066462,1.953632530746354e6,1.9224222355677155e6,-31210.29517863854,-1.5975519800909104,2.8574
56.99999999999999,4.027061768209667,4.033761517093203,0.006699748883535861,0.16636816788917555,29719.70334537773,29722.697383122726,2.9940377449966036,0.010074251785767784,2.0883419376205015e6,2.0477688312605303e6,-40573.10635997122,-1.9428382693976367,4.2757999999999905
57.999999999999986,4.011240745737476,4.019151156532517,0.007910410795040512,0.1972060840139418,29707.36419861178,29711.02447350637,3.6602748945915664,0.012321102842111489,2.2479757283466584e6,2.196174991079053e6,-51800.737267605495,-2.3043281390633124,4.96619999999999
58.99999999999998,4.009561516149895,4.016999790560025,0.007438274410129786,0.18551341287992626,29683.166438699147,29687.920266260186,4.753827561038634,0.016015230621895096,2.639494218333713e6,2.568464539392903e6,-71029.6789408098,-2.6910337006023126,4.866200000000002
59.99999999999997,4.025538516582502,4.030916616148123,0.005378099565620964,0.1335995058416861,29662.003162458113,29667.875839860775,5.872677402661793,0.019798654091219912,2.9556189675982506e6,2.865702958751146e6,-89916.00884710439,-3.0422057048906592,3.878800000000028
60.99999999999997,4.054704111680496,4.057454363053255,0.0027502513727588607,0.0678286577024483,29650.833860466762,29657.48631546762,6.652455000858026,0.022435979480926828,3.066147136766007e6,2.9647188003704264e6,-101428.33639558079,-3.308006167719709,2.5210000000000385
61.999999999999964,4.028421855321493,4.033430721881734,0.005008866560240577,0.12433818354013566,29652.361019671152,29659.19712992801,6.8361102568560455,0.023054185305247773,2.930216899924224e6,2.8292139491887903e6,-101002.9507354335,-3.4469445158836347,3.5650999999999633
62.99999999999996,4.031442805058583,4.036237400178808,0.004794595120225509,0.11893000476676333,29649.581477686188,29656.649952700183,7.068475013995339,0.023840049881698883,2.8944016245691776e6,2.792431146502743e6,-101970.47806643462,-3.5230244897894085,3.3848000000000074
63.99999999999995,4.0233204672269185,4.0286867453835935,0.005366278156675008,0.13337933680370548,29639.27691936453,29646.7722913113,7.4953719467703195,0.0252886464375023,3.0122257671144223e6,2.905262439935212e6,-106963.32717921026,-3.550973115858987,3.686899999999985
64.99999999999994,4.034711724199158,4.039001207074537,0.004289482875378781,0.10631448213887429,29630.010901158406,29637.877489560306,7.866588401899207,0.02654939422108568,3.1054095176999997e6,2.9946433929336434e6,-110766.12476635631,-3.566876578918792,3.1176000000000323
65.99999999999994,4.0399482628005705,4.043765552566423,0.003817289765852827,0.09448858048510274,29623.100428623915,29631.260567171674,8.160138547758834,0.027546537768457,3.150573458676788e6,3.0375480462898305e6,-113025.41238695756,-3.587455232179452,2.848700000000015
66.99999999999993,4.056712950443823,4.059350546013803,0.0026375955699800002,0.06501804791713042,29620.801306338693,29629.05809658585,8.25679024715646,0.027874972597009214,3.10628226086164e6,2.994809834640522e6,-111472.42622111784,-3.5886122657184707,2.1836000000000477
67.99999999999993,4.127884038445528,4.1266261075271995,-0.0012579309183289311,-0.030473988770349292,29621.946547396954,29630.157394923117,8.21084752616298,0.02771879799669854,3.0001763633846026e6,2.8928064842154267e6,-107369.87916917587,-3.5787855833931106,0.18726000000014187
68.99999999999991,4.0991593754145494,4.099772222170982,0.0006128467564323614,0.014950547180673696,29637.191623692644,29645.057103755847,7.865480063202995,0.026539221944751175,2.625028806634992e6,2.527306766725556e6,-97722.0399094359,-3.7227035247169407,0.9150099999999379
69.99999999999991,4.138517235909989,4.1375633977918165,-0.0009538381181721789,-0.023047822778064286,29651.684747639447,29659.16049391137,7.475746271924436,0.025211876949148986,2.287115856997809e6,2.1993119652246884e6,-87803.8917731205,-3.839066197913411,0.005340200000077563
70.99999999999991,4.156352270358715,4.154806978962385,-0.001545291396330306,-0.037179028528227694,29660.918317178297,29668.09499299264,7.176675814342161,0.024195730346574424,2.0688991194229648e6,1.988714698643612e6,-80184.42077935277,-3.875704717865459,-0.37206999999996787
71.9999999999999,4.158506386115033,4.157225037856678,-0.0012813482583551306,-0.03081270387448398,29676.02957034936,29682.89395720556,6.864386856199417,0.023131082410896134,1.7426225548456588e6,1.6699982605032085e6,-72624.29434245033,-4.167528656191561,-0.37225
72.9999999999999,4.129778159996909,4.130155535677337,0.0003773756804283934,0.009137916512897533,29688.178955338786,29694.75660762522,6.577652286432567,0.022155795733809117,1.4885648616904144e6,1.4226975326938243e6,-65867.3289965901,-4.424888071171528,0.3374099999999294
73.99999999999989,4.102680627003647,4.104544148670769,0.0018635216671221144,0.04542205052122519,29692.046610608624,29698.342239486872,6.295628878247953,0.021203081622533215,1.4056622536606856e6,1.346220673112543e6,-59441.58054814255,-4.228724246762852,1.0425999999999198
74.99999999999989,4.131585865851919,4.131940751392205,0.00035488554028528796,0.008589571941816868,29686.885269668895,29692.926756485966,6.041486817070108,0.020350692779625146,1.4985320075778991e6,1.4447531367321005e6,-53778.870845798636,-3.5887702480724633,0.33741000000008015
75.99999999999987,4.162869845688447,4.161746248783307,-0.0011235969051401895,-0.026990920850045726,29685.864796250782,29691.692789503802,5.827993253020395,0.019632216521300233,1.4997252420428013e6,1.4506434312256465e6,-49081.81081715482,-3.272720191753234,-0.37218999999990926
76.99999999999987,4.1883179638360195,4.186089093484418,-0.002228870351601131,-0.053216359666249914,29695.428016278933,29701.071782653627,5.643766374694678,0.01900550607184643,1.2907712518397912e6,1.2456985907705466e6,-45072.66106924461,-3.491917022865254,-0.9656499999999242
77.99999999999987,4.143823389771074,4.144048168672785,0.0002247789017104651,0.0054244324761843436,29709.829307973396,29715.27863746512,5.449329491722892,0.018341840457024857,997354.6189924743,956409.9332542894,-40944.68573818484,-4.1053287324770285,0.13473999999985925
78.99999999999986,4.130661171654274,4.131601074589818,0.0009399029355439126,0.022754297592690088,29715.22481188807,29720.468592056764,5.243780168693775,0.017646779393019816,894523.1346055563,857824.3045209087,-36698.83008464752,-4.102613858145773,0.46978999999995236
