Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
23.0,4.11179210839085,4.1150035716636415,0.003211463272791093,0.07810373647630495,29852.574499788137,29852.61821466459,0.04371487645403249,0.0001464358675475133,244857.2994656863,244145.89068486355,-711.4087808227341,-0.2905401563993109,1.665
24.0,4.0869011172358745,4.091490677971048,0.004589560735173137,0.11229928504551709,29839.083973494486,29839.188379963038,0.1044064685520425,0.0003498983703547497,497343.207680564,495469.5471494791,-1873.6605310849263,-0.3767339137540509,2.4526
25.0,4.069646136538129,4.0751556281109105,0.005509491572781577,0.13538011384617,29821.897540770842,29822.159447968254,0.2619071974113467,0.0008782378688454741,809929.1985499726,805053.5366167774,-4875.661933195195,-0.6019861911293185,3.0432
26.0,4.057625126101727,4.063623867296521,0.005998741194793489,0.14783872359733352,29801.71234060922,29802.277828350052,0.5654877408305765,0.0018975008360845637,1.1672957712334702e6,1.1567059925191447e6,-10589.778714325512,-0.9072061233576983,3.4383
27.0,4.130286411065864,4.1309460764948085,0.000659665428944578,0.015971420944978592,29781.51286508576,29782.537761230906,1.0248961451470677,0.003441383753034926,1.5099455147784862e6,1.490869035751749e6,-19076.479026737157,-1.2633885686620776,0.87647
28.0,4.107349495858806,4.109232467779652,0.0018829719208461881,0.04584396635213721,29780.309311113484,29781.559797594033,1.250486480548716,0.004199037919602993,1.4666159549609025e6,1.4440563870345354e6,-22559.567926367046,-1.5382055438615794,1.452
29.0,4.034843362269157,4.042416566635302,0.007573204366144282,0.18769512682854644,29787.228626870263,29788.51235258259,1.2837257123283052,0.00430965138922085,1.2745385307570077e6,1.2523328361960247e6,-22205.694560982985,-1.7422536883050521,4.2781
30.0,4.085184882667572,4.0882159566182885,0.0030310739507166673,0.0741967386488862,29766.508683978424,29768.289472575718,1.780788597294304,0.005982524239575328,1.6416760883801563e6,1.610560024316582e6,-31116.06406357442,-1.8953838874681228,2.0705
31.0,4.095716117160254,4.097740934326603,0.0020248171663483916,0.049437439227411326,29750.059120230602,29752.246991490374,2.187871259771782,0.00735417449400626,1.9043644643429492e6,1.8665560635925692e6,-37808.40075038001,-1.9853552961263015,1.647
32.0,4.132144242349981,4.132323540443466,0.00017929809348515846,0.004339105388615144,29753.788623299453,29756.010000407572,2.2213771081187588,0.007465863040981791,1.7604936139030848e6,1.7235744710817768e6,-36919.14282130799,-2.09709041428766,0.64251
33.0,4.166867099822051,4.165624085386584,-0.001243014435466705,-0.029830911466309756,29760.950284918774,29763.160662174538,2.2103772557638877,0.007427105769818063,1.5640427097104462e6,1.5286656028238353e6,-35377.106886610854,-2.2619015879150948,-0.14223
34.0,4.178275296849384,4.17683938170881,-0.0014359151405747284,-0.03436621664583652,29774.59022343107,29776.69102686775,2.1008034366786887,0.007055692188923778,1.2540926879273737e6,1.2220113994879548e6,-32081.288439418888,-2.55812738151271,-0.37147
35.0,4.179546954356709,4.178382708371046,-0.0011642459856631149,-0.027855793902483113,29787.999381709353,29789.997802504156,1.9984207948036783,0.006708811723793588,966558.4560502481,937388.8397945557,-29169.61625569244,-3.017884337269303,-0.36196
36.0,4.1758666288542745,4.175126019993368,-0.0007406088609061001,-0.017735452942597922,29797.424713969962,29799.31095282759,1.886238857627177,0.006330207646242829,771065.1099770305,744825.0676138188,-26240.042363211745,-3.4030903517335154,-0.24336
37.0,4.181678909220836,4.180841738657793,-0.0008371705630434434,-0.02001996282396134,29803.216832838418,29804.981043603668,1.7642107652500272,0.005919531355105758,653889.3941334923,630619.1114915679,-23270.282641924336,-3.558749056139865,-0.34419
38.0,4.257503656907786,4.252428195008093,-0.005075461899692435,-0.11921215596509271,29807.957406353085,29809.602122218585,1.6447158654991654,0.005517707379535576,559735.7550938075,539245.660281,-20490.09481280751,-3.660672848989882,-2.4679
39.0,4.232601500276042,4.229661925502919,-0.0029395747731228994,-0.06945078039903323,29826.973906249896,29828.46375997622,1.4898537263252365,0.004994987862355875,186614.98483151177,169484.14962376354,-17130.835207748227,-9.179774723458069,-1.5457
40.0,4.158895066923601,4.160020206720334,0.001125139796732455,0.027053815463652424,29846.72383383247,29848.022980266727,1.2991464342558174,0.004352727091551611,-182386.7938751422,-195596.64905934985,13209.855184207641,-7.242769557784323,0.30511
41.0,4.144409216050856,4.146123911403936,0.001714695353079776,0.04137369800354037,29841.59457540687,29842.731812196496,1.1372367896256037,0.0038109116010939512,-46997.8467527225,-57016.24246940183,10018.395716679326,-21.316712166390854,0.65534
42.0,4.143239660257764,4.144758065619886,0.0015184053621215554,0.036647780158270894,29827.77963921149,29828.79860929676,1.018970085267938,0.0034161781319062843,243306.65291166297,235516.06909843054,-7790.583813232428,-3.201960867079514,0.66836
43.0,4.131869090517647,4.133779656023458,0.00191056550581159,0.04623973954538409,29819.560328618674,29820.5123738478,0.9520452291253605,0.0031926870102496306,403533.07835194556,396913.41809594055,-6619.660256005009,-1.6404256828312855,0.92799
44.0,4.102249874850312,4.105666174882979,0.003416300032666797,0.08327869186153503,29812.841758000082,29813.77229487407,0.9305368739878759,0.003121261909687534,525943.4682418267,519608.1541665078,-6335.314075318922,-1.2045617937793212,1.7388
45.0,4.062390967730108,4.068386397813205,0.0059954300830966645,0.14758377838868267,29801.15347344765,29802.09365678613,0.9401833384799829,0.0031548555303997586,740752.3061733769,734131.9844585372,-6620.321714839665,-0.893729477406466,3.1551
46.0,4.051845275140146,4.058180910856393,0.006335635716246735,0.15636420657813976,29779.42942560628,29780.495109742595,1.065684136316122,0.00357859152062792,1.1423998904402405e6,1.1332757115210895e6,-9124.17891915096,-0.7986852060739278,3.5063
47.0,4.0566865710071225,4.0619787085502805,0.005292137543158049,0.13045468143831013,29754.75568462174,29756.13666870851,1.3809840867688763,0.004641221394678146,1.5820209951953704e6,1.5668342069212764e6,-15186.788274093997,-0.9599612344094408,3.1505
48.0,4.124482935458915,4.124955975030501,0.0004730395715855096,0.011469063613252076,29737.87149251843,29739.667544598648,1.7960520802189421,0.006039612084108979,1.8492734215965113e6,1.826408670167109e6,-22864.75142940227,-1.2364181068293685,0.82876
