Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
0.0,4.179525193496739,4.179584087593866,5.8894097127115685e-5,0.0019320700892876829,0.0014091097529153258,0.04742568353381119,29866.0,29866.0,0.0,12.833403102918732,0.0,0.04419217205800208,-5.942940940055923,-5.942940940055923,0.0,25594.918284453295,-0.0,12.435996071915893,0.030392
1.0,4.179525191895803,4.179584086049282,5.88941534784837e-5,0.0019320700892876829,0.0014091111017270775,0.04742568353381119,29865.999979473316,29865.999979484874,1.1557858670130372e-8,12.833403102918732,3.869905135630484e-11,0.04419217205800208,-5.525522314101609,-5.525757467593603,0.0002351534919942111,25594.918284453295,-0.0042557694752961015,12.435996071915893,0.030392
2.0,4.179483333652704,4.179533630832847,5.0297180142599984e-5,0.0019320700892876829,0.0012034305708940878,0.04742568353381119,29865.58491639724,29865.58515007179,0.0002336745492357295,12.833403102918732,7.824208027060406e-7,0.04419217205800208,8154.581009441593,8149.98697857355,-4.594030868042864,25594.918284453295,-0.05633681071686911,12.435996071915893,0.030392
3.0,4.179446031000501,4.179493370454206,4.7339453704609014e-5,0.0019320700892876829,0.0011326729273084214,0.04742568353381119,29865.362457388608,29865.363571543832,0.001114155224058777,12.833403102918732,3.730593344207474e-6,0.04419217205800208,12049.950716309622,12028.315636919717,-21.635079389905513,25594.918284453295,-0.17954496162895014,12.435996071915893,0.030392
4.0,4.179412443113806,4.179458415541517,4.5972427710871955e-5,0.0019320700892876829,0.0010999734612605239,0.04742568353381119,29865.19380217773,29865.19663163206,0.0028294543299125507,12.833403102918732,9.474086619542481e-6,0.04419217205800208,14754.219292746722,14700.07573456587,-54.14355818085278,25594.918284453295,-0.36696999757533855,12.435996071915893,0.030392
5.0,4.179381892249167,4.179427275512698,4.538326353120681e-5,0.0019320700892876829,0.0010858845805733117,0.04742568353381119,29865.050987486295,29865.055618804312,0.00463131801734562,12.833403102918732,1.5507484046440038e-5,0.04419217205800208,16886.78955978331,16800.11442629129,-86.67513349201909,25594.918284453295,-0.5132718281658465,12.435996071915893,0.030392
6.0,4.179353822340646,4.1793991831918405,4.536085119433153e-5,0.0019320700892876829,0.0010853556105218005,0.04742568353381119,29864.92410045768,29864.930478622144,0.0063781644639675505,12.833403102918732,2.1356707428798738e-5,0.04419217205800208,18667.31409156237,18550.59630083279,-116.71779072958088,25594.918284453295,-0.6252521929886923,12.435996071915893,0.030392
7.0,4.179327841406451,4.179373143885654,4.530247920264685e-5,0.0019320700892876829,0.0010839656739491726,0.04742568353381119,29864.808311137815,29864.816331869926,0.00802073211161769,12.833403102918732,2.6856800914494497e-5,0.04419217205800208,20202.87029701415,20059.267989848882,-143.60230716526712,25594.918284453295,-0.7108015101522014,12.435996071915893,0.030392
8.0,4.179303632663974,4.179349321402299,4.5688738325111444e-5,0.0019320700892876829,0.0010932141414187824,0.04742568353381119,29864.70083015173,29864.710379949618,0.009549797887302702,12.833403102918732,3.1976874443226033e-5,0.04419217205800208,21555.327833274718,21387.923624338106,-167.40420893661212,25594.918284453295,-0.7766256687508697,12.435996071915893,0.030392
9.0,4.179280956430859,4.179326778636872,4.5822206012680056e-5,0.0019320700892876829,0.0010964136292912119,0.04742568353381119,29864.59987128269,29864.61083407834,0.010962795648083556,12.833403102918732,3.6708329243765296e-5,0.04419217205800208,22764.320852949288,22576.046606656622,-188.27424629266534,25594.918284453295,-0.8270584811594456,12.435996071915893,0.030392
