Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),average Stress Error (Pa),Stress Error Percentage (%),average Stress Error Percentage (%),Current (A)
10.0,4.154340345868195,4.15544898916946,0.0011086433012650332,0.002684099368845545,0.026686386019567764,0.06590568279918213,29864.843619701838,29864.84846727512,0.004847573280130746,5.68281815330454,1.62317048830378e-5,0.01936401468212504,20029.611271051148,19946.28240009571,-83.32887095543629,23089.41289734932,-0.41602839829383875,2.3697974633638563,0.58049
11.0,4.084301034350091,4.089254251943814,0.004953217593723025,0.002684099368845545,0.12127454739660735,0.06590568279918213,29860.89024208104,29860.895359053768,0.005116972726682434,5.68281815330454,1.713603541354374e-5,0.01936401468212504,96897.44297860298,96812.1587117952,-85.2842668077792,23089.41289734932,-0.0880149818056724,2.3697974633638563,2.6467
12.0,4.05448757809754,4.061246286856543,0.006758708759003085,0.002684099368845545,0.16669699015761763,0.06590568279918213,29841.615509598872,29841.654986716396,0.03947711752334726,5.68281815330454,0.00013228880826056158,0.01936401468212504,470586.2161099958,469828.5177387924,-757.6983712033834,23089.41289734932,-0.161011594743837,2.3697974633638563,3.8424
13.0,4.0451790995151775,4.051805545552727,0.006626446037549805,0.002684099368845545,0.16381094321247722,0.06590568279918213,29810.015390311153,29810.281224629693,0.26583431853941875,5.68281815330454,0.0008917617621419282,0.01936401468212504,1.0656559339761867e6,1.0604902968704998e6,-5165.637105686823,23089.41289734932,-0.4847377977254575,2.3697974633638563,4.1121
14.0,4.180175199450576,4.178060959554811,-0.002114239895765202,0.002684099368845545,-0.0505777819083537,0.06590568279918213,29781.652542398035,29782.45371015351,0.8011677554750349,5.68281815330454,0.0026901386829843274,0.01936401468212504,1.5670801913104106e6,1.5516822512906394e6,-15397.940019771224,23089.41289734932,-0.982587879366613,2.3697974633638563,-0.23677
15.0,4.059570904427117,4.0644487669856755,0.004877862558558377,0.002684099368845545,0.12015709722519889,0.06590568279918213,29787.626005328177,29788.718804462547,1.0927991343705798,5.68281815330454,0.0036686345335983084,0.01936401468212504,1.373592030249342e6,1.353296712716704e6,-20295.317532638088,23089.41289734932,-1.4775360577007692,2.3697974633638563,3.1954
16.0,4.0384388073547495,4.0453235885437016,0.006884781188952083,0.002684099368845545,0.1704812556875596,0.06590568279918213,29790.077952013475,29791.408594694745,1.3306426812705467,5.68281815330454,0.00446673111568884,0.01936401468212504,1.2717585083828487e6,1.2477616333767138e6,-23996.875006134855,23089.41289734932,-1.8869050097135944,2.3697974633638563,4.134
17.0,4.064544584698424,4.0684791704101535,0.003934585711729888,0.002684099368845545,0.09680262154196105,0.06590568279918213,29760.44367060542,29762.34539361357,1.9017230081517482,5.68281815330454,0.00639010301459347,0.01936401468212504,1.810918625309208e6,1.7767477239010925e6,-34170.9014081154,23089.41289734932,-1.886937432226191,2.3697974633638563,2.8259
18.0,4.068873934190687,4.0721903510473565,0.0033164168566690577,0.002684099368845545,0.08150699457167389,0.06590568279918213,29745.0274566251,29747.3291528044,2.301696179300052,5.68281815330454,0.007738087257295155,0.01936401468212504,2.040961381494616e6,2.0004513096600762e6,-40510.07183453976,23089.41289734932,-1.9848524426696328,2.3697974633638563,2.5489
19.0,4.063509086924281,4.0673035032242,0.0037944162999190567,0.002684099368845545,0.09337782243748091,0.06590568279918213,29741.40678003897,29743.961549455747,2.554769416776253,5.68281815330454,0.0085899414095331,0.01936401468212504,2.0337240395616207e6,1.989937712628506e6,-43786.32693311479,23089.41289734932,-2.153012212146204,2.3697974633638563,2.6931
20.0,4.072138266988458,4.075332721276906,0.003194454288448334,0.002684099368845545,0.07844660664753868,0.06590568279918213,29735.460142154643,29738.281934293074,2.821792138431192,5.68281815330454,0.009489653514494847,0.01936401468212504,2.080128038503464e6,2.032792882088907e6,-47335.156414557016,23089.41289734932,-2.2755885954314627,2.3697974633638563,2.3144
21.0,4.041566043221377,4.047111119115393,0.005545075894016094,0.002684099368845545,0.13720116991076872,0.06590568279918213,29730.240980895178,29733.249382769285,3.0084018741072214,5.68281815330454,0.01011899592754878,0.01936401468212504,2.1141695708079184e6,2.064917983586877e6,-49251.587221041555,23089.41289734932,-2.329594934157544,2.3697974633638563,3.5036
22.0,4.058960157504029,4.06294921963054,0.003989062126510845,0.002684099368845545,0.09827793256694181,0.06590568279918213,29719.35149112896,29722.66711238287,3.315621253910649,5.68281815330454,0.011156438776600967,0.01936401468212504,2.2615973428362417e6,2.208025699059934e6,-53571.643776307814,23089.41289734932,-2.3687525078679244,2.3697974633638563,2.7033
23.0,4.107939622534316,4.108710742725611,0.000771120191295438,0.002684099368845545,0.018771458739690775,0.06590568279918213,29708.228633191393,29711.854295170862,3.6256619794694416,5.68281815330454,0.012204234807250292,0.01936401468212504,2.4082464908903837e6,2.3504327400786006e6,-57813.75081178313,23089.41289734932,-2.4006575336234817,2.3697974633638563,1.057
24.0,4.171568468956489,4.169776006974227,-0.001792461982262239,0.002684099368845545,-0.04296853798759823,0.06590568279918213,29714.391618362537,29717.969111191556,3.57749282901932,5.68281815330454,0.01203959641835152,0.01936401468212504,2.210631982209712e6,2.155733366555097e6,-54898.615654614754,23089.41289734932,-2.4833900937115274,2.3697974633638563,-0.44999
25.0,4.173042772188204,4.171907451470341,-0.001135320717862598,0.002684099368845545,-0.02720606473120988,0.06590568279918213,29734.970988711713,29738.357546938616,3.3865582269027072,5.68281815330454,0.011389142529139666,0.01936401468212504,1.74570886745016e6,1.69622310016441e6,-49485.767285750015,23089.41289734932,-2.834709051918294,2.3697974633638563,-0.4451
26.0,4.226779053096286,4.223441533740031,-0.0033375193562550365,0.002684099368845545,-0.07896129214064712,0.06590568279918213,29754.569654048686,29757.775705298794,3.2060512501084304,5.68281815330454,0.010774987799805685,0.01936401468212504,1.3280557094287588e6,1.2834026037623687e6,-44653.105666390155,23089.41289734932,-3.362291607902273,2.3697974633638563,-1.8319
27.0,4.188866416590946,4.188191232115093,-0.0006751844758525749,0.002684099368845545,-0.016118548760073972,0.06590568279918213,29775.511540050884,29778.55534800491,3.0438079540253966,5.68281815330454,0.010222521114141687,0.01936401468212504,904166.0242175119,863715.2562866289,-40450.76793088298,23089.41289734932,-4.473820830183273,2.3697974633638563,-0.6912
28.0,4.1800147068486035,4.180112257373488,9.755052488458205e-5,0.002684099368845545,0.0023337364034809183,0.06590568279918213,29790.833240042313,29793.66729512455,2.8340550822358637,5.68281815330454,0.009513178296827787,0.01936401468212504,609035.1309905774,573520.0107642934,-35515.12022628402,23089.41289734932,-5.8313746480469435,2.3697974633638563,-0.41631
29.0,4.145329891848719,4.146916573039896,0.0015866811911768863,0.002684099368845545,0.038276355141164994,0.06590568279918213,29792.854927969674,29795.418130550748,2.5632025810737105,5.68281815330454,0.008603413762362745,0.01936401468212504,584479.8137265964,554873.6170962228,-29606.196630373597,23089.41289734932,-5.065392496895122,2.3697974633638563,0.39479
30.0,4.106049717945901,4.109420078421218,0.0033703604753174687,0.002684099368845545,0.08208279750210942,0.06590568279918213,29789.966715781247,29792.30241253702,2.3356967557738244,5.68281815330454,0.007840548390195039,0.01936401468212504,650015.3224787676,625202.5657516486,-24812.756727118976,23089.41289734932,-3.817257204414511,2.3697974633638563,1.4094
31.0,4.166099594630626,4.166286433332085,0.0001868387014596351,0.002684099368845545,0.004484739195876102,0.06590568279918213,29778.155062273334,29780.305353688593,2.1502914152588346,5.68281815330454,0.007221036396519712,0.01936401468212504,882294.1516848379,861275.720858246,-21018.43082659191,23089.41289734932,-2.3822475516192534,2.3697974633638563,-0.067283
