Time, Current
0,0.091176
1,0.091176
2,0.091176
3,0.091176
4,0.091176
5,0.091176
6,0.091176
7,0.091176
8,0.091176
9,0.091176
10,0.091176
11,0.091176
12,0.091176
13,0.091176
14,0.091176
15,0.091176
16,0.091176
17,0.091176
18,0.091176
19,0.091176
20,0.091176
21,1.1469
22,3.3051
23,4.995
24,7.3578
25,9.1296
26,10.3149
27,2.62941
28,4.356
29,12.8343
30,6.2115
31,4.941
32,1.92753
33,-0.42669
34,-1.11441
35,-1.08588
36,-0.73008
37,-1.03257
38,-7.4037
39,-4.6371
40,0.91533
41,1.96602
42,2.00508
43,2.78397
44,5.2164
45,9.4653
46,10.5189
47,9.4515
48,2.48628
49,0.38328
50,0.90177
51,-3.5715
52,-6.4977
53,-4.6725
54,-2.68392
55,0.97044
56,8.3709
57,10.2396
58,9.8811
59,9.6711
60,6.9648
61,3.8019
62,3.2895
63,2.16786
64,-0.46002
65,0.99654
66,2.70075
67,2.14821
68,1.00689
69,1.00173
70,1.56633
71,4.4499
72,4.5453
73,2.23713
74,-0.061176
75,-0.86505
76,2.16786
77,3.9357
78,5.2047
79,1.67265
80,-0.059598
81,4.0536
82,5.3556
83,6.7569
84,8.9481
85,6.5805
86,5.3652
87,4.0644
88,4.1109
89,4.1574
90,2.05788
91,0.63855
92,1.33434
93,1.32801
94,2.72718
95,4.8705
96,-0.50577
97,-0.98451
98,-0.50184
99,4.0182
100,5.4651
101,4.8528
102,3.4866
103,2.79309
104,1.36632
105,-0.99447
106,-1.46328
107,2.67285
108,4.08
109,5.5455
110,5.6466
111,6.4845
112,5.1231
113,3.6888
114,0.71103
115,-1.0185
116,-13.4787
117,-12.9414
118,-11.3808
119,-9.8067
120,-8.2209
121,-6.6252
122,-5.0211
123,-3.411
124,-1.79607
125,-0.255099
126,0.091176
127,0.091176
128,0.091176
129,0.091176
130,0.091176
131,0.091176
132,0.091176
133,0.091176
134,0.091176
135,0.091176
136,0.091176
137,0.091176
138,0.091176
139,0.091176
140,0.091176
141,0.091176
142,0.091176
143,0.091176
144,0.091176
145,0.091176
146,0.091176
147,0.091176
148,0.091176
149,0.091176
150,0.091176
151,0.091176
152,0.091176
153,0.091176
154,0.091176
155,0.091176
156,0.091176
157,0.091176
158,0.091176
159,0.091176
160,0.091176
161,0.091176
162,0.091176
163,0.091176
164,1.43508
165,4.1235
166,6.8151
167,9.5124
168,12.2178
169,14.9343
170,12.9321
171,12.726
172,10.2639
173,5.2908
174,-1.71969
175,-1.27677
176,-0.46119
177,3.3039
178,2.76135
179,2.78571
180,4.0029
181,10.2651
182,-1.76562
183,-8.919
184,-3.7923
185,-10.1415
186,-4.2096
187,-0.62091
188,4.7508
189,3.2478
190,7.4259
191,12.021
192,13.8585
193,18.3855
194,23.2242
195,24.3
196,24.1236
197,11.9427
198,20.4381
199,13.9929
200,18.3429
201,17.0982
202,19.8042
203,13.0776
204,12.2949
205,11.4459
206,3.8919
207,1.69527
208,2.77017
209,1.66887
210,3.825
211,3.825
212,3.825
213,3.825
214,6.0078
215,6.0435
216,9.399
217,10.647
218,10.8126
219,8.6814
220,9.9321
221,11.2326
222,9.0348
223,10.3227
224,12.8688
225,16.7748
226,15.9057
227,11.1564
228,8.7462
229,6.2622
230,3.7323
231,1.1838
232,4.9407
233,7.4754
234,8.7924
235,10.1466
236,7.6638
237,10.3008
238,7.791
239,9.144
240,6.5835
241,5.2881
242,2.6655
243,5.2542
244,5.2542
245,5.2542
246,5.2542
247,5.2542
248,3.9465
249,1.32777
250,1.29825
251,-2.63817
252,-0.8931
253,-0.041595
254,2.36967
255,1.10175
256,3.5541
257,8.5173
258,6.0786
259,6.0969
260,4.8606
261,1.11069
262,-0.078672
263,-0.096561
264,-0.114018
265,-0.96657
266,8.1816
267,-0.139407
268,3.3312
269,2.11929
270,2.09847
271,5.6541
272,6.8703
273,8.1156
274,9.3969
275,10.7214
276,10.8564
277,10.9923
278,16.1982
279,11.3778
280,7.6425
281,10.275
282,5.1702
283,2.58012
284,-1.75461
285,-2.63931
286,-4.3602
287,-6.015
288,-5.115
289,4.4595
290,4.4595
291,-0.175713
292,-5.0364
293,3.0948
294,5.3997
295,3.0948
296,-0.231576
297,3.0348
298,4.1685
299,4.1685
300,-0.248931
301,-1.04187
302,-1.05012
303,-4.0959
304,-5.5311
305,-5.4378
306,-6.0444
307,-5.9172
308,-5.1225
309,-5.6646
310,-9.2601
311,-7.1055
312,-8.5542
313,-6.0054
314,-5.2647
315,-3.5694
316,-2.98167
317,1.3407
318,-0.98655
319,-3.3222
320,-5.4465
321,-10.0632
322,-11.1432
323,-3.7203
324,-2.25825
325,-0.96801
326,-3.4626
327,-3.1695
328,-6.0762
329,-2.63145
330,-3.7596
331,-3.0198
332,-1.40412
333,-0.039795
334,0.091176
335,0.091176
336,0.091176
337,0.091176
338,0.091176
339,0.091176
340,0.091176
341,0.091176
342,0.091176
343,0.091176
344,0.091176
345,0.091176
346,0.091176
347,0.23292
348,2.24961
349,4.9386
350,7.6317
351,10.3311
352,12.2307
353,12.7659
354,13.5774
355,7.8483
356,10.0116
357,10.0251
358,11.2368
359,14.6412
360,7.6377
361,7.8549
362,5.8299
363,7.449
364,8.4036
365,9.4245
366,3.2061
367,4.8315
368,1.63578
369,0.044748
370,4.0095
371,8.934
372,6.6462
373,2.55195
374,2.55195
375,2.55195
376,2.55195
377,2.55195
378,3.3876
379,5.0829
380,3.4371
381,1.75725
382,-0.50061
383,-3.3363
384,-3.8157
385,-1.58661
386,-9.3015
387,-10.131
388,-13.1295
389,-9.3837
390,-8.3571
391,-7.6041
392,-6.9486
393,-4.6917
394,-4.9725
395,-3.3621
396,-1.74708
397,-0.2226
398,0.091176
399,0.091176
400,0.091176
401,0.091176
402,0.091176
403,0.93993
404,3.5532
405,6.2439
406,8.9397
407,11.643
408,14.3568
409,17.0838
