Position_Negative,Position_Positive,Conc_P2D_Neg_t137s,Conc_sP2D_Neg_t137s,Conc_Error_Neg_t137s,Stress_P2D_Neg_t137s,Stress_sP2D_Neg_t137s,Stress_Error_Neg_t137s,Conc_P2D_Neg_t274s,Conc_sP2D_Neg_t274s,Conc_Error_Neg_t274s,Stress_P2D_Neg_t274s,Stress_sP2D_Neg_t274s,Stress_Error_Neg_t274s,Conc_P2D_Neg_t411s,Conc_sP2D_Neg_t411s,Conc_Error_Neg_t411s,Stress_P2D_Neg_t411s,Stress_sP2D_Neg_t411s,Stress_Error_Neg_t411s,Conc_P2D_Neg_t548s,Conc_sP2D_Neg_t548s,Conc_Error_Neg_t548s,Stress_P2D_Neg_t548s,Stress_sP2D_Neg_t548s,Stress_Error_Neg_t548s,Conc_P2D_Neg_t685s,Conc_sP2D_Neg_t685s,Conc_Error_Neg_t685s,Stress_P2D_Neg_t685s,Stress_sP2D_Neg_t685s,Stress_Error_Neg_t685s,Conc_P2D_Neg_t822s,Conc_sP2D_Neg_t822s,Conc_Error_Neg_t822s,Stress_P2D_Neg_t822s,Stress_sP2D_Neg_t822s,Stress_Error_Neg_t822s,Conc_P2D_Neg_t959s,Conc_sP2D_Neg_t959s,Conc_Error_Neg_t959s,Stress_P2D_Neg_t959s,Stress_sP2D_Neg_t959s,Stress_Error_Neg_t959s,Conc_P2D_Neg_t1096s,Conc_sP2D_Neg_t1096s,Conc_Error_Neg_t1096s,Stress_P2D_Neg_t1096s,Stress_sP2D_Neg_t1096s,Stress_Error_Neg_t1096s,Conc_P2D_Neg_t1233s,Conc_sP2D_Neg_t1233s,Conc_Error_Neg_t1233s,Stress_P2D_Neg_t1233s,Stress_sP2D_Neg_t1233s,Stress_Error_Neg_t1233s,Conc_P2D_Neg_t1370s,Conc_sP2D_Neg_t1370s,Conc_Error_Neg_t1370s,Stress_P2D_Neg_t1370s,Stress_sP2D_Neg_t1370s,Stress_Error_Neg_t1370s
0.0,0.5988200589970502,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252,23858.198727078907,23864.063517380004,5.864790301096946,1.1488150409878632e6,1.127981035301321e6,20834.005686542252
0.045132743362831865,0.6389380530973452,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681,23857.144039017978,23862.787619235463,5.643580217485578,1.1533459414069508e6,1.132763938001964e6,20582.00340498681
0.09026548672566373,0.6790560471976401,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926,23853.630219206836,23858.585869402756,4.955650195919588,1.1681071105075714e6,1.151158592632922e6,16948.51787464926
0.13539823008849558,0.719174041297935,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737,23847.61130088937,23851.495046705524,3.88374581615426,1.1931206474977047e6,1.179641519636784e6,13479.127860920737
0.18053097345132746,0.7592920353982301,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896,23839.025561609807,23841.53616141957,2.510599809764244,1.2290264827873781e6,1.2209510310982952e6,8075.451689082896
0.2256637168141593,0.7994100294985251,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431,23827.409632338047,23828.177373057577,0.7677407195296837,1.277442407299285e6,1.2756018628188e6,1840.5444804851431
0.27079646017699116,0.8395280235988201,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597,23812.576068706912,23811.390418846273,1.185649860639387,1.3381802662948633e6,1.3435101820388993e6,5329.91574403597
0.315929203539823,0.879646017699115,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711,23794.00579003864,23790.456369633306,3.5494204053320573,1.4140032923693652e6,1.427009061311381e6,13005.768942015711
0.3610619469026549,0.91976401179941,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878,23770.73058000843,23765.094831607556,5.635748400873126,1.5069359233681262e6,1.526012617557125e6,19076.69418899878
0.40619469026548677,0.9598820058997051,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367,23742.01747588433,23734.201549758247,7.815926126084378,1.619672562850387e6,1.6453554564083784e6,25682.893557991367
