Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (c/c_max),Average Concentration (sP2D) (c/c_max),First Position Concentration (P2D) (c/c_max),First Position Concentration (sP2D) (c/c_max),Concentration Error (c/c_max),average Concentration Error (c/c_max),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (σ/E),Negative Stress (sP2D) (σ/E),Negative Stress Error (σ/E),average Negative Stress Error (σ/E),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (σ/E),Positive Stress (sP2D) (σ/E),Positive Stress Error (σ/E),average Positive Stress Error (σ/E),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
0.0,3.9014885531985812,3.9271142181360412,0.02562566493745999,0.026529595472571273,0.6568176373720525,0.7383952033733268,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.0,0.0008860649207788179,0.0,0.15268723918731106,-3.961960626703949e-10,-3.961960626703949e-10,0.0,0.00010933081883118292,-0.0,7.613988998129413,4.644398249759261e-11,4.644398249759261e-11,0.0,1.982927813457649e-5,0.0,1.8862677387519349,14.801730831736737
1.0,3.995434208453896,4.008858931582234,0.013424723128337757,0.026529595472571273,0.3360016065320893,0.7383952033733268,0.9013970800645639,0.901397078530018,0.9013971691264999,0.9013971868388989,-1.5345458237447929e-9,0.0008860649207788179,-1.702408247910986e-7,0.15268723918731106,2.3997723073777845e-8,2.5744662553163275e-8,1.7469394793854295e-9,0.00010933081883118292,7.279605127597705,7.613988998129413,4.335671632211319e-9,6.158495057454229e-9,1.8228234252429102e-9,1.982927813457649e-5,42.042469538063635,1.8862677387519349,7.339244465658142
2.0,3.9806949826691125,3.9904422355844322,0.009747252915319748,0.026529595472571273,0.24486309445352372,0.7383952033733268,0.8966039825627327,0.8965863869697469,0.897752451864898,0.8979576614938289,-1.7595592985752972e-5,0.0008860649207788179,-0.001962470982502229,0.15268723918731106,0.0003303905419355869,0.00034938573559844415,1.899519366285724e-5,0.00010933081883118292,5.749315204840383,7.613988998129413,8.291528880346507e-5,0.00011565366145067899,3.273837264721392e-5,1.982927813457649e-5,39.48412062438088,1.8862677387519349,7.432659854933705
3.0,3.977644516870409,3.9870837888843322,0.009439272013923361,0.026529595472571273,0.2373080845683549,0.7383952033733268,0.8956551951885714,0.895638285032519,0.8967794933471861,0.897005620348957,-1.6910156052429848e-5,0.0008860649207788179,-0.0018880207632658884,0.15268723918731106,0.0003447369758555335,0.00036309866187107884,1.8361686015545364e-5,0.00010933081883118292,5.3262885334470385,7.613988998129413,0.0001258120588849413,0.0001685060800189928,4.269402113405151e-5,1.982927813457649e-5,33.93476071566113,1.8862677387519349,7.1435799182632955
4.0,3.9643190329207934,3.97453388525948,0.010214852338686686,0.026529595472571273,0.2576697852483554,0.7383952033733268,0.8946142490172141,0.8945930237818651,0.895858629677537,0.8961885620322871,-2.1225235348976135e-5,0.0008860649207788179,-0.002372557263903777,0.15268723918731106,0.00038476388890677787,0.00040979001578930996,2.5026126882532083e-5,0.00010933081883118292,6.5042816137549515,7.613988998129413,0.0001619935911974846,0.0002073156374217273,4.532204622424268e-5,1.982927813457649e-5,27.97767855457385,1.8862677387519349,7.603198099865407
5.0,3.86482242266413,3.887619802053116,0.02279737938898574,0.026529595472571273,0.5898687415829799,0.7383952033733268,0.8936036364873807,0.8935789545222846,0.8949971632405382,0.8954215035960629,-2.4681965096085e-5,0.0008860649207788179,-0.0027620707983134485,0.15268723918731106,0.0004269637593059181,0.0004570325942395613,3.006883493364323e-5,0.00010933081883118292,7.0424794325691265,7.613988998129413,0.00019581595244975894,0.00024176520149419903,4.594924904444009e-5,1.982927813457649e-5,23.46552896717106,1.8862677387519349,15.10003212022504
6.0,3.9526599429534004,3.9607696861811297,0.008109743227729282,0.026529595472571273,0.20517179177497719,0.7383952033733268,0.890928597692276,0.8908780654447955,0.8931803218887179,0.8939361031930039,-5.053224748041707e-5,0.0008860649207788179,-0.005671862774559938,0.15268723918731106,0.0006254644224078122,0.0006861923657740174,6.072794336620514e-5,0.00010933081883118292,9.709256224746483,7.613988998129413,0.000258689409061132,0.0003188798838256322,6.019047476450018e-5,1.982927813457649e-5,23.26746772624012,1.8862677387519349,7.378953803883073
7.000000000000001,3.941408511166608,3.949286298819105,0.007877787652496693,0.026529595472571273,0.19987239663632242,0.7383952033733268,0.8891820307718661,0.8891145565046509,0.8919464851093716,0.8929423867644468,-6.747426721520622e-5,0.0008860649207788179,-0.007588352539764473,0.15268723918731106,0.0007334639234930883,0.0008132868250331658,7.982290154007752e-5,0.00010933081883118292,10.883003101219296,7.613988998129413,0.00031440321544752526,0.0003866508079308289,7.224759248330363e-5,1.982927813457649e-5,22.979279133791795,1.8862677387519349,7.59747257745317
8.0,3.935562993377476,3.945223084859814,0.009660091482338373,0.026529595472571273,0.24545640607439861,0.7383952033733268,0.8893500481066201,0.8892884357880507,0.8918580891247009,0.8928625020093265,-6.161231856938176e-5,0.0008860649207788179,-0.006927791672193775,0.15268723918731106,0.0006641734486919721,0.0007367717139190027,7.259826522703055e-5,0.00010933081883118292,10.930618405479184,7.613988998129413,0.0003351422955343649,0.00040422545416185274,6.908315862748783e-5,1.982927813457649e-5,20.613082725753472,1.8862677387519349,7.752659808505615
9.0,3.9374573476168315,3.9468072004887724,0.0093498528719409,0.026529595472571273,0.23745915311565094,0.7383952033733268,0.8888134790099593,0.8887506982718811,0.8913599871430352,0.8924478495267512,-6.278073807819418e-5,0.0008860649207788179,-0.007063432267940517,0.15268723918731106,0.0006676041508591812,0.0007416622542231433,7.405810336396214e-5,0.00010933081883118292,11.093116073147865,7.613988998129413,0.0003571806960190505,0.0004236302902704854,6.64495942514349e-5,1.982927813457649e-5,18.603915326905224,1.8862677387519349,7.400203801492782
