Position,Normalized_Position,Conc_P2D_t100s_(c_cmax),Conc_sP2D_t100s_(c_cmax),Conc_Error_t100s_(c_cmax),Stress_P2D_t100s_(sigma_E),Stress_sP2D_t100s_(sigma_E),Stress_Error_t100s_(sigma_E),Current_t100s,Conc_P2D_t200s_(c_cmax),Conc_sP2D_t200s_(c_cmax),Conc_Error_t200s_(c_cmax),Stress_P2D_t200s_(sigma_E),Stress_sP2D_t200s_(sigma_E),Stress_Error_t200s_(sigma_E),Current_t200s,Conc_P2D_t300s_(c_cmax),Conc_sP2D_t300s_(c_cmax),Conc_Error_t300s_(c_cmax),Stress_P2D_t300s_(sigma_E),Stress_sP2D_t300s_(sigma_E),Stress_Error_t300s_(sigma_E),Current_t300s,Conc_P2D_t400s_(c_cmax),Conc_sP2D_t400s_(c_cmax),Conc_Error_t400s_(c_cmax),Stress_P2D_t400s_(sigma_E),Stress_sP2D_t400s_(sigma_E),Stress_Error_t400s_(sigma_E),Current_t400s,Conc_P2D_t500s_(c_cmax),Conc_sP2D_t500s_(c_cmax),Conc_Error_t500s_(c_cmax),Stress_P2D_t500s_(sigma_E),Stress_sP2D_t500s_(sigma_E),Stress_Error_t500s_(sigma_E),Current_t500s,Conc_P2D_t600s_(c_cmax),Conc_sP2D_t600s_(c_cmax),Conc_Error_t600s_(c_cmax),Stress_P2D_t600s_(sigma_E),Stress_sP2D_t600s_(sigma_E),Stress_Error_t600s_(sigma_E),Current_t600s,Conc_P2D_t700s_(c_cmax),Conc_sP2D_t700s_(c_cmax),Conc_Error_t700s_(c_cmax),Stress_P2D_t700s_(sigma_E),Stress_sP2D_t700s_(sigma_E),Stress_Error_t700s_(sigma_E),Current_t700s,Conc_P2D_t800s_(c_cmax),Conc_sP2D_t800s_(c_cmax),Conc_Error_t800s_(c_cmax),Stress_P2D_t800s_(sigma_E),Stress_sP2D_t800s_(sigma_E),Stress_Error_t800s_(sigma_E),Current_t800s,Conc_P2D_t900s_(c_cmax),Conc_sP2D_t900s_(c_cmax),Conc_Error_t900s_(c_cmax),Stress_P2D_t900s_(sigma_E),Stress_sP2D_t900s_(sigma_E),Stress_Error_t900s_(sigma_E),Current_t900s,Conc_P2D_t1000s_(c_cmax),Conc_sP2D_t1000s_(c_cmax),Conc_Error_t1000s_(c_cmax),Stress_P2D_t1000s_(sigma_E),Stress_sP2D_t1000s_(sigma_E),Stress_Error_t1000s_(sigma_E),Current_t1000s
0.5625,0.5,0.27325028320046546,0.2733701591233555,0.00011987592289003368,4.106188155816035e-5,4.248366024759817e-5,1.4217786894378192e-6,0.0573272307769459,0.27461603259522854,0.2747476760397095,0.00013164344448096665,4.853515733324756e-5,4.989273128094702e-5,1.3575739476994603e-6,0.2779951646901301,0.27582007652231244,0.27592992181640286,0.00010984529409041599,5.2498095419927755e-5,5.322841657560138e-5,7.303211556736235e-7,0.5093871819094901,0.2766825134560525,0.27677593106886894,9.341761281644878e-5,5.105533062216363e-5,5.1357330900009145e-5,3.020002778455141e-7,0.23420749382537837,0.2780123675561327,0.27813176489263464,0.0001193973365019585,5.709926159418581e-5,5.763159929639064e-5,5.323377022048309e-7,0.3044559040163331,0.2789631542204332,0.27905621526624547,9.306104581224828e-5,5.625257236951525e-5,5.617260173359353e-5,7.997063592171878e-8,0.32688663537432194,0.279925912325077,0.28004669378668356,0.00012078146160654502,5.706939430995076e-5,5.736313798850425e-5,2.937436785534908e-7,0.3650901579621655,0.2808808862191765,0.2809900536515826,0.00010916743240607651,5.66955258239265e-5,5.6652729165244324e-5,4.279665868217597e-8,0.3071231971122636,0.282049657764021,0.28218244570925555,0.00013278794523452486,5.941469645045379e-5,5.962309390764343e-5,2.0839745718963964e-7,0.23451981948199407,0.28296255001966075,0.28310978538014414,0.0001472353604833887,5.854024541858979e-5,5.8910361719472405e-5,3.7011630088261204e-7,0.37012574449622326
0.60625,0.5499999999999999,0.2731535971801026,0.27327220362288257,0.00011860644277994492,3.9893612394116116e-5,4.129948367195606e-5,1.405871277839946e-6,0.0573272307769459,0.274515599307511,0.27464571858137427,0.0001301192738632495,4.757498594233785e-5,4.891208940830927e-5,1.3371034659714177e-6,0.2779951646901301,0.27572327911146477,0.275832786707,0.00010950759553524092,5.181717246005444e-5,5.25480529173425e-5,7.308804572880588e-7,0.5093871819094901,0.2765962131981258,0.27668967501965275,9.346182152697446e-5,5.0692328468981596e-5,5.100061973947031e-5,3.082912704887168e-7,0.23420749382537837,0.2779105180067755,0.27802950003283367,0.00011898202605814534,5.662192197647187e-5,5.7154365781412214e-5,5.324438049403424e-7,0.3044559040163331,0.2788701906664856,0.27896419234234443,9.400167585882357e-5,5.60518746985532e-5,5.599565363782791e-5,5.6221060725288204e-8,0.32688663537432194,0.2798244951041609,0.2799451346716416,0.00012063956748070703,5.678563989817667e-5,5.7084751455137276e-5,2.991115569606076e-7,0.3650901579621655,0.28078326151318783,0.2808929781683751,0.00010971665518727525,5.657454630583043e-5,5.654964093894731e-5,2.4905366883119675e-8,0.3071231971122636,0.28194035162387104,0.28207308399316955,0.00013273236929850496,5.920011826788744e-5,5.941695672797277e-5,2.1683846008533047e-7,0.23451981948199407,0.2828502040750368,0.28299668606694117,0.00014648199190436806,5.8324888668141684e-5,5.8691268007876055e-5,3.663793397343709e-7,0.37012574449622326
0.65,0.6,0.27307521844915045,0.2731847064046204,0.00010948795546994461,3.8940982458374606e-5,4.024182461163984e-5,1.3008421532652325e-6,0.0573272307769459,0.27443464072589685,0.2745546522197951,0.00012001149389823107,4.680667766253535e-5,4.803640069561516e-5,1.2297230330798103e-6,0.2779951646901301,0.27564337222135626,0.27574600745220845,0.00010263523085218829,5.124614070787866e-5,5.1940182361737135e-5,6.940416538584737e-7,0.5093871819094901,0.2765241784940799,0.2766125997551344,8.842126105451653e-5,5.037332656135334e-5,5.0681609241669556e-5,3.082826803162185e-7,0.23420749382537837,0.27782656853357857,0.277938163611618,0.00011159507803942814,5.622253587175591e-5,5.672819888500336e-5,5.056630132474493e-7,0.3044559040163331,0.2787913928071929,0.2788819824326278,9.058962543490034e-5,5.584397433258172e-5,5.5837174145923296e-5,6.800186658422554e-9,0.32688663537432194,0.2797403935296888,0.2798544413190228,0.00011404778933399307,5.653859754967717e-5,5.6836194882203815e-5,2.9759733252664313e-7,0.3650901579621655,0.2807013748206313,0.2808062857603217,0.00010491093969039467,5.644652604031965e-5,5.645737867828748e-5,1.0852637967833615e-8,0.3071231971122636,0.28184954789314354,0.2819754594666272,0.00012591157348368354,5.9006949474570334e-5,5.9233075598148184e-5,2.2612612357785037e-7,0.23451981948199407,0.2827575881327647,0.28289574532418854,0.00013815719142384886,5.8144198602152936e-5,5.8496023873838796e-5,3.5182527168585914e-7,0.37012574449622326
0.69375,0.6499999999999999,0.2730146390242286,0.2731076151477169,9.297612348829754e-5,3.819915091016595e-5,3.931001257368285e-5,1.1108616635168995e-6,0.0573272307769459,0.2743725436250373,0.2744744228065518,0.00010187918151449704,4.6223303840765944e-5,4.7265076133041185e-5,1.0417722922752414e-6,0.2779951646901301,0.2755802728079797,0.2756695400783826,8.926727040292626e-5,5.078728992880582e-5,5.1404517543420085e-5,6.172276146142677e-7,0.5093871819094901,0.276466449868899,0.2765446724384908,7.822256959177931e-5,5.010199096614609e-5,5.040027220663728e-5,2.9828124049119175e-7,0.23420749382537837,0.2777601912237363,0.27785769950676215,9.750828302584891e-5,5.5899056014997485e-5,5.6352806238055916e-5,4.5375022305843104e-7,0.3044559040163331,0.2787273756288821,0.2788095435030326,8.216787415049609e-5,5.564307082534733e-5,5.5697231657806896e-5,5.416083245956329e-8,0.32688663537432194,0.2796734896500995,0.2797745526382334,0.00010106298813389314,5.63295818939865e-5,5.6617258820879784e-5,2.8767692689328196e-7,0.3650901579621655,0.28063553703070654,0.28072992200846075,9.438497775421384e-5,5.6320334768165963e-5,5.637597670497974e-5,5.564193681377634e-8,0.3071231971122636,0.2817773526354912,0.2818894983409726,0.00011214570548140346,5.88408474463254e-5,5.907130797195216e-5,2.3046052562675738e-7,0.23451981948199407,0.2826844979945153,0.28280687615771705,0.00012237816320176398,5.799811989731901e-5,5.832434522746187e-5,3.262253301428603e-7,0.37012574449622326
0.7375,0.7000000000000001,0.27297160377926477,0.27304088782952124,6.928405025646844e-5,3.766698983078853e-5,3.850352187571254e-5,8.365320449240106e-7,0.0573272307769459,0.27432882662306984,0.274404983104521,7.615648145115061e-5,4.5819442474298876e-5,4.659759906607866e-5,7.781565917797838e-7,0.2779951646901301,0.27553392856795444,0.2756033464542004,6.941788624598155e-5,5.0442727497116235e-5,5.094081048790313e-5,4.980829907868918e-7,0.5093871819094901,0.2764231261416922,0.2764858629904911,6.273684879892771e-5,4.98824645651761e-5,5.0156559920021466e-5,2.740953548453689e-7,0.23420749382537837,0.2777112009232894,0.2777880587156355,7.685779234611889e-5,5.565118447328755e-5,5.602793164933753e-5,3.767471760499785e-7,0.3044559040163331,0.27867852339083354,0.278746838553045,6.831516221145195e-5,5.5458704081087856e-5,5.55758797763688e-5,1.1717569528094129e-7,0.32688663537432194,0.279623795360752,0.27970541692166295,8.162156091096051e-5,5.6161535990236074e-5,5.642779092895673e-5,2.6625493872065405e-7,0.3650901579621655,0.28058588226375664,0.28066383792695554,7.795566319890312e-5,5.6201060295623345e-5,5.630543868812474e-5,1.043783925013916e-7,0.3071231971122636,0.28172379753388677,0.28181513421091436,9.133667702759807e-5,5.8705383592143815e-5,5.893149564147391e-5,2.261120493300949e-7,0.23451981948199407,0.28263083119734755,0.2827300033561961,9.917215884852615e-5,5.78876663411172e-5,5.8175995976272495e-5,2.8832963515529363e-7,0.37012574449622326
0.78125,0.75,0.2729459874378212,0.2729844885807491,3.850114292786033e-5,3.7344917281313827e-5,3.7821903303428485e-5,4.769860221146588e-7,0.0573272307769459,0.27430316368084157,0.27434629257652343,4.31288956818654e-5,4.5591633557700895e-5,4.6033525935473034e-5,4.4189237777213886e-7,0.2779951646901301,0.2755042890055672,0.2755473933149299,4.310430936266263e-5,5.021387536972691e-5,5.05488388404891e-5,3.3496347076219076e-7,0.5093871819094901,0.27639432327405206,0.2764361452453041,4.1821971252020695e-5,4.9718638614643006e-5,4.9950425750703126e-5,2.3178713606011983e-7,0.23420749382537837,0.27767950184857676,0.27772919983563066,4.9697987053898274e-5,5.547946598279891e-5,5.57533665942022e-5,2.739006114032866e-7,0.3044559040163331,0.27864503579210587,0.27869383541199405,4.87996198881846e-5,5.529653607890169e-5,5.547315704332e-5,1.7662096441831268e-7,0.32688663537432194,0.2795913596990196,0.279646990681883,5.563098286337498e-5,5.603740455194364e-5,5.6267676557587096e-5,2.302720056434555e-7,0.3650901579621655,0.28055244902325244,0.28060799134317355,5.554231992110914e-5,5.609143865843458e-5,5.624576432280758e-5,1.5432566437300396e-7,0.3071231971122636,0.28168883940944844,0.2817523087801508,6.346937070234038e-5,5.860204919845109e-5,5.881347930724221e-5,2.114301087911209e-7,0.23451981948199407,0.28259655588118415,0.2826650629686174,6.850708743322276e-5,5.7814391906048635e-5,5.805078311331859e-5,2.3639120726995697e-7,0.37012574449622326
0.825,0.7999999999999999,0.2729377634662787,0.27293838670230325,6.232360245661539e-7,3.723434523313416e-5,3.726476852249842e-5,3.042328936426466e-8,0.0573272307769459,0.27429538891119204,0.2742983175355702,2.928624378173428e-6,4.553849386665444e-5,4.557249017461643e-5,3.399630796199169e-8,0.2779951646901301,0.27549131657426285,0.2755016522665237,1.0335692260832197e-5,5.0101671407537796e-5,5.022840745504759e-5,1.2673604750979185e-7,0.5093871819094901,0.2763801335446388,0.2763954971778099,1.5363633171117108e-5,4.961342795116629e-5,4.9781830164336034e-5,1.684022131697414e-7,0.23420749382537837,0.2776650451933155,0.2776810885121449,1.6043318829428443e-5,5.5384561263381126e-5,5.5528942762931125e-5,1.4438149954999941e-7,0.3044559040163331,0.2786269781943593,0.2786505067591433,2.3528564784047745e-5,5.5159219560565345e-5,5.538908955126077e-5,2.2986999069542495e-7,0.32688663537432194,0.2795762226787056,0.2795992374218737,2.3014743168126017e-5,5.595932235271309e-5,5.613681911296804e-5,1.7749676025494897e-7,0.3650901579621655,0.28053520662042825,0.28056234675215863,2.714013173038543e-5,5.5992326704434036e-5,5.619694997733221e-5,2.0462327289817706e-7,0.3071231971122636,0.28167240408145816,0.2817009726919663,2.8568610508150627e-5,5.853104318768084e-5,5.871711605112652e-5,1.8607286344567923e-7,0.23451981948199407,0.2825816869697054,0.28261200165686773,3.031468716230279e-5,5.7779983660365045e-5,5.794854880268001e-5,1.6856514231496702e-7,0.37012574449622326
0.8687499999999999,0.8499999999999999,0.2729470105667879,0.2729025566956242,4.445387116369659e-5,3.7337792731661305e-5,3.6831791551494964e-5,5.060011801663415e-7,0.0573272307769459,0.27430548994548687,0.2742610309684872,4.445897699967283e-5,4.566061951141211e-5,4.521419995830331e-5,4.4641955310879605e-7,0.2779951646901301,0.2754950025753146,0.2754660999941749,2.8902581139744754e-5,5.0106854527148746e-5,4.9979353243902306e-5,1.2750128324643973e-7,0.5093871819094901,0.2763806163745329,0.27636390075958694,1.6715614945927992e-5,4.9568604972457835e-5,4.965073897686111e-5,8.213400440327379e-8,0.23420749382537837,0.27766780912576855,0.2776436970042572,2.4112121511377094e-5,5.5366905309753966e-5,5.535452638436428e-5,1.2378925389688281e-8,0.3044559040163331,0.2786243149302214,0.27861683013353306,7.4847966883284656e-6,5.504698054847834e-5,5.532369344073131e-5,2.767128922529698e-7,0.32688663537432194,0.2795783999712825,0.2795621272328262,1.6272738456279967e-5,5.592834605980147e-5,5.603513530292366e-5,1.0678924312218665e-7,0.3650901579621655,0.28053406417941473,0.28052687523542597,7.188943988767349e-6,5.5902869198076905e-5,5.615899061521472e-5,2.561214171378174e-7,0.3071231971122636,0.28167441491422013,0.28166108579845345,1.3329115766680388e-5,5.849178924095042e-5,5.864228763849689e-5,1.5049839754646975e-7,0.23451981948199407,0.28258627750554705,0.2825707761954082,1.550131013883238e-5,5.778611707017932e-5,5.786916546311762e-5,8.30483929382966e-8,0.37012574449622326
0.9125000000000001,0.9000000000000001,0.27297393589651864,0.27287697843047093,9.695746604770905e-5,3.7659297454201935e-5,3.652271251743838e-5,1.1365849367635534e-6,0.0573272307769459,0.2743336008435054,0.2742344122238128,9.918861969260284e-5,4.5960470101654294e-5,4.495843349760255e-5,1.0020366040517411e-6,0.2779951646901301,0.2755153740441933,0.2754407183882644,7.465565592890133e-5,5.02300904764415e-5,4.980154845908526e-5,4.2854201735623967e-7,0.5093871819094901,0.27639580766837457,0.27634134193901183,5.446572936274041e-5,4.958496270686241e-5,4.9557123819546243e-5,2.7838887316164473e-8,0.23420749382537837,0.27768779373193797,0.2776170039363723,7.078979556568443e-5,5.542662188378204e-5,5.523001530532343e-5,1.9660657845860723e-7,0.3044559040163331,0.2786369267233397,0.2785927879850592,4.413873828046366e-5,5.495792896807014e-5,5.5276977737283366e-5,3.1904876921322447e-7,0.32688663537432194,0.27959789311493316,0.27953563674419074,6.225637074241952e-5,5.594463717653372e-5,5.5962556282633236e-5,1.791910609951359e-8,0.3650901579621655,0.2805488751489411,0.28050155439351715,4.732075542396297e-5,5.582058600143057e-5,5.613188127234713e-5,3.112952709165607e-7,0.3071231971122636,0.2816947947387168,0.281632617111155,6.217762756177692e-5,5.8482980236330135e-5,5.858890287616082e-5,1.0592263983068582e-7,0.23451981948199407,0.2826104227360521,0.28254135317872736,6.906955732471909e-5,5.7834531961275535e-5,5.7812534042099464e-5,2.199791917607076e-8,0.37012574449622326
0.95625,0.9500000000000001,0.2730189141435101,0.2728616373479161,0.00015727679559401908,3.820510871669656e-5,3.633734198854192e-5,1.8677667281546408e-6,0.0573272307769459,0.2743799948042271,0.27421844674482837,0.00016154805939871952,4.64422400315311e-5,4.4805035122267476e-5,1.6372049092636272e-6,0.2779951646901301,0.2755524922839617,0.27542549456049653,0.00012699772346519422,5.047194935733437e-5,4.9694901929870994e-5,7.770474274633742e-7,0.5093871819094901,0.27642574123841074,0.2763278106672965,9.793057111423531e-5,4.966269323921634e-5,4.950096346214439e-5,1.61729777071944e-7,0.23420749382537837,0.27772502825107864,0.2776009941386427,0.00012403411243594453,5.556364818126076e-5,5.5155337358199816e-5,4.083108230609406e-7,0.3044559040163331,0.2786646144927904,0.2785783677365532,8.624675623719602e-5,5.488813564015777e-5,5.5248946996312995e-5,3.6081135615522483e-7,0.32688663537432194,0.27963472197504163,0.279519749183881,0.00011497279116062797,5.600803765109264e-5,5.591903031929357e-5,8.900733179907302e-8,0.3650901579621655,0.2805794386621033,0.280486368265798,9.307039630529479e-5,5.5741402289900916e-5,5.6115617661695825e-5,3.742153717949088e-7,0.3071231971122636,0.28173344650441323,0.28161554464665955,0.00011790185775367723,5.850224390591048e-5,5.8556897455177454e-5,5.4653549266974236e-8,0.23451981948199407,0.2826542740383949,0.28252370884707934,0.0001305651913155459,5.7927277833021214e-5,5.777858364127173e-5,1.4869419174948667e-7,0.37012574449622326
