测量时间(s),电池型号,参数类型,P2D值,SP2D值,绝对误差,相对误差(%),时间滞后(s),空间滞后(%)
60,LG M50,电压(V),3.764,3.781,0.017,0.45,1.8,-
60,LG M50,负极浓度(mol/m³),24650,24230,420,1.70,2.7,2.1
60,LG M50,负极应力(MPa),18.9,17.2,1.7,8.99,5.4,7.4
180,LG M50,电压(V),3.625,3.657,0.032,0.88,2.7,-
180,LG M50,负极浓度(mol/m³),25980,25650,330,1.27,3.5,3.6
180,LG M50,负极应力(MPa),20.7,18.9,1.8,8.70,6.2,8.7
240,LG M50,电压(V),3.872,3.841,0.031,0.80,4.5,-
240,LG M50,负极浓度(mol/m³),23150,23560,410,1.77,4.5,4.2
240,LG M50,负极应力(MPa),15.8,14.3,1.5,9.49,5.8,8.7
60,Enertech,电压(V),3.578,3.584,0.006,0.17,0.6,-
60,Enertech,负极浓度(mol/m³),19840,19785,55,0.28,0.8,0.7
60,Enertech,负极应力(MPa),12.5,12.3,0.2,1.60,1.1,1.6
180,Enertech,电压(V),3.421,3.426,0.005,0.15,0.8,-
180,Enertech,负极浓度(mol/m³),20870,20790,80,0.38,0.9,0.9
180,Enertech,负极应力(MPa),13.4,13.2,0.2,1.49,1.4,1.8

工况转换点,电池型号,P2D响应时间(s),SP2D响应时间(s),时间延迟(s),相对延迟率(%)
放电→充电转换点,LG M50,180.5,183.2,2.7,1.50
强充→脉冲充电点,LG M50,240.2,244.7,4.5,1.87
脉冲→涓流充电点,LG M50,285.1,291.3,6.2,2.18
放电→充电转换点,Enertech,180.3,181.1,0.8,0.44
强充→脉冲充电点,Enertech,240.1,241.2,1.1,0.46
脉冲→涓流充电点,Enertech,285.0,286.4,1.4,0.49

测量位置,电池型号,P2D曲率变化率(%/s),SP2D曲率变化率(%/s),曲率响应差异(%)
负极表面应力转折点,LG M50,14.8,11.2,24.3
正极表面应力转折点,LG M50,12.6,9.1,27.8
负极表面浓度转折点,LG M50,7.5,6.8,9.3
正极表面浓度转折点,LG M50,6.9,6.2,10.1
负极表面应力转折点,Enertech,9.7,9.1,6.2
正极表面应力转折点,Enertech,8.4,8.0,4.8

电极位置(x/L),电池型号,P2D应力峰值位置,SP2D应力峰值位置,空间滞后(%),P2D应力值(MPa),SP2D应力值(MPa),应力误差(%)
0.1,LG M50,0.103,0.112,8.7,15.8,14.3,9.5
0.3,LG M50,0.302,0.326,7.9,17.2,15.6,9.3
0.5,LG M50,0.500,0.536,7.2,18.1,16.5,8.8
0.7,LG M50,0.698,0.742,6.3,16.9,15.7,7.1
0.9,LG M50,0.895,0.934,4.4,14.2,13.4,5.6
0.5,Enertech,0.500,0.508,1.6,11.6,11.4,1.7

滞后性指标,LG M50(能量型),Enertech(功率型),差异倍数
平均时间滞后(s),4.37,1.10,3.97
平均空间滞后(%),5.20,1.25,4.16
曲率响应平均差异(%),17.88,5.50,3.25
应力预测平均误差(%),8.84,1.55,5.70
浓度预测平均误差(%),1.58,0.33,4.79
电解液浓度梯度放大系数,1.96,1.00,1.96
电极厚度(μm),115,74,1.55 
