Time (s),Voltage (V),Concentration (mol/m³),Stress (Pa)
113.99999999999993,4.114088868614891,29807.736295076968,962703.3448207978
114.99999999999994,4.1089020954785385,29803.359801828636,1.0410553294779814e6
115.99999999999994,4.103651750600706,29798.48884752668,1.1271213959917272e6
200.0,4.098640002705798,29793.120041247465,1.2197607054583605e6
201.0,4.094194009418942,29787.318458507863,1.3165242310815542e6
202.0,4.09060712747458,29781.22266769579,1.4137569295337661e6
203.0,4.088079978317351,29775.03142197982,1.507020589879064e6
204.0,4.0866752534074635,29768.97361626448,1.591774516121037e6
205.0,4.0862972635547,29763.267579585256,1.6641777522731018e6
206.0,4.086701342154197,29758.07874484106,1.7218366793386112e6
207.0,4.087531042037062,29753.485341865977,1.7643279043527036e6
208.0,4.088374657222078,29749.459843458848,1.7933768994965511e6
209.0,4.088828742454781,29745.87002547665,1.8126536009477086e6
210.0,4.0885557935545425,29742.498842171015,1.827233851118033e6
211.0,4.087325874067284,29739.078200470114,1.8428457415027837e6
212.0,4.085036681856755,29735.32916527319,1.8650558367258322e6
213.0,4.081711900436194,29731.00062310718,1.898546321232799e6
214.0,4.077482181712838,29725.899864667175,1.9465956712890374e6
215.0,4.072555791047394,29719.911274527043,2.0108168202643886e6
216.0,4.067186462826822,29713.002424150316,2.0911460158498543e6
217.0,4.061644606841693,29705.219504039684,2.1860281105359793e6
218.0,4.056195334065326,29696.67561653724,2.292719427863912e6
219.0,4.051083793524933,29687.535753408032,2.40763003401764e6
220.0,4.046525909906421,29678.001468282706,2.52664837328287e6
221.0,4.042701423143832,29668.29679300384,2.6454227114197332e6
222.0,4.039746415802765,29658.655427691818,2.759604050453915e6
223.0,4.03774409563982,29649.308202632667,2.865074032758673e6
224.0,4.036714844634398,29640.46962431505,2.958182842699881e6
225.0,4.036608596672222,29632.323028280545,3.036006369468424e6
226.0,4.037303627767452,29625.005184797,3.096605351642859e6
227.0,4.038615306817817,29618.592617692055,3.1392424987989548e6
228.00000000000003,4.040316243749039,29613.092805544955,3.1644981226819255e6
228.99999999999997,4.04216615425162,29608.443368570057,3.174228994104075e6
229.99999999999997,4.043946622412371,29604.521145581202,3.1713409482635194e6
231.0,4.045493873148779,29601.160974086688,3.159387408314794e6
232.0,4.04672245644385,29598.181585584513,3.142051454384885e6
233.0,4.047634593508103,29595.414058576287,3.1226039144419157e6
234.0,4.048313366191442,29592.72738289703,3.1034423120713667e6
235.00000000000003,4.048901917948291,29590.046211907676,3.085800220924383e6
236.00000000000003,4.049574137887672,29587.357702446847,3.0696772476270758e6
236.99999999999997,4.050503909189461,29584.706938575975,3.053987865771165e6
237.99999999999997,4.0518395004738945,29582.183035565173,3.0368780147853508e6
239.0,4.05368732146476,29579.899876717915,3.0161258984534587e6
240.0,4.0561059171791225,29577.97606043223,2.9895361388471015e6
241.0,4.059107917886541,29576.51794872153,2.955254492939927e6
242.0,4.062665769292048,29575.608052696072,2.911965804616713e6
243.00000000000003,4.066716991327019,29575.29899820532,2.8589777003917703e6
244.00000000000003,4.071166372628527,29575.61167706824,2.7962233217245797e6
244.99999999999997,4.075885212200218,29576.53542002457,2.7242288363627936e6
245.99999999999997,4.080710370104695,29578.028308229765,2.644083168382493e6
247.0,4.0854473717589155,29580.016866225295,2.557423428307338e6
248.0,4.089881467218065,29582.39583404431,2.4664206971533312e6
249.0,4.093798348949469,29585.029869317186,2.373729469663404e6
250.0,4.09701278618861,29587.759368615185,2.282359611188058e6
251.00000000000003,4.099399899815227,29590.411891898104,2.195445584932162e6
252.00000000000003,4.100921477933176,29592.819073809118,2.1159199847332747e6
252.99999999999997,4.101639539401577,29594.836912798328,2.0461365278084967e6
254.0,4.101711565082591,29596.365623528865,1.9875182544501834e6
255.0,4.101366004090414,29597.364441721475,1.9403182171612494e6
256.0,4.1008616489864895,29597.857254687384,1.9035663090877929e6
257.0,4.100438779583717,29597.926673696154,1.8752388205417835e6
258.0,4.1002723422303085,29597.69672779577,1.8526364549636666e6
259.0,4.100437178577555,29597.307036895287,1.832906114012044e6
260.0,4.100892475139551,29596.88337169865,1.8136059501757957e6
