Position,Normalized_Position,Conc_P2D_t100s_(c_cmax),Conc_sP2D_t100s_(c_cmax),Conc_Error_t100s_(c_cmax),Current_t100s,Conc_P2D_t200s_(c_cmax),Conc_sP2D_t200s_(c_cmax),Conc_Error_t200s_(c_cmax),Current_t200s,Conc_P2D_t300s_(c_cmax),Conc_sP2D_t300s_(c_cmax),Conc_Error_t300s_(c_cmax),Current_t300s,Conc_P2D_t400s_(c_cmax),Conc_sP2D_t400s_(c_cmax),Conc_Error_t400s_(c_cmax),Current_t400s,Conc_P2D_t500s_(c_cmax),Conc_sP2D_t500s_(c_cmax),Conc_Error_t500s_(c_cmax),Current_t500s,Conc_P2D_t600s_(c_cmax),Conc_sP2D_t600s_(c_cmax),Conc_Error_t600s_(c_cmax),Current_t600s,Conc_P2D_t700s_(c_cmax),Conc_sP2D_t700s_(c_cmax),Conc_Error_t700s_(c_cmax),Current_t700s,Conc_P2D_t800s_(c_cmax),Conc_sP2D_t800s_(c_cmax),Conc_Error_t800s_(c_cmax),Current_t800s,Conc_P2D_t900s_(c_cmax),Conc_sP2D_t900s_(c_cmax),Conc_Error_t900s_(c_cmax),Current_t900s,Conc_P2D_t1000s_(c_cmax),Conc_sP2D_t1000s_(c_cmax),Conc_Error_t1000s_(c_cmax),Current_t1000s
0.5625,0.5,0.273167341399034,0.2732560242773895,8.868287835550603e-5,0.09870712048925961,0.27471629803187014,0.2748518156196754,0.00013551758780527834,0.36399030200178095,0.27584247860359673,0.2759668032464474,0.00012432464285067057,0.22764274056922307,0.27699849976258956,0.27710324113409385,0.00010474137150429108,0.2574535649194075,0.2778123007751338,0.2779086094350623,9.630865992849014e-5,0.18410381617892047,0.279054220047566,0.2792048008066191,0.0001505807590530539,0.42996617717867985,0.27984750791620355,0.2799517547966008,0.00010424688039722962,0.2770736011218449,0.28091873788541033,0.28106252553057826,0.00014378764516792542,0.3463715636287682,0.2817686114161859,0.28189604266982743,0.00012743125364150787,0.3662205516140514,0.2829107614061215,0.28305559075042747,0.0001448293443059856,0.22744106347498572
0.60625,0.5499999999999999,0.27308344680782487,0.27317204735527734,8.860054745246648e-5,0.09870712048925961,0.27461228869082066,0.2747462970895357,0.00013400839871502424,0.36399030200178095,0.27574143645618776,0.2758647346226543,0.00012329816646655667,0.22764274056922307,0.2769013150058563,0.2770061726724394,0.00010485766658308027,0.2574535649194075,0.277722671828544,0.27781936144486197,9.668961631797979e-5,0.18410381617892047,0.2789421287024262,0.27909136271537516,0.00014923401294897332,0.42996617717867985,0.27975241705236104,0.2798570481380777,0.00010463108571667767,0.2770736011218449,0.2808094779996935,0.28095229774379565,0.0001428197441021295,0.3463715636287682,0.2816656036889512,0.2817928418800254,0.000127238191074186,0.3662205516140514,0.28279595695337384,0.2829407034525963,0.00014474649922247007,0.22744106347498572
0.65,0.6,0.27301459862706756,0.2730969961822464,8.239755517885916e-5,0.09870712048925961,0.2745286536484907,0.2746520610506576,0.00012340740216687518,0.36399030200178095,0.2756588392085164,0.27577356931212904,0.00011473010361262581,0.22764274056922307,0.2768205803521119,0.2769194549989596,9.887464684771308e-5,0.2574535649194075,0.27764753954537014,0.2777396207347774,9.208118940728927e-5,0.18410381617892047,0.27885109452322554,0.27899008750288234,0.00013899297965680457,0.42996617717867985,0.27967277908971516,0.27977245883097157,9.967974125640877e-5,0.2770736011218449,0.28071994337233347,0.2808538951926002,0.00013395182026670893,0.3463715636287682,0.2815803283592316,0.28170070939037956,0.00012038103114797583,0.3662205516140514,0.28270117902282293,0.2828381785738653,0.0001369995510423494,0.22744106347498572
0.69375,0.6499999999999999,0.2729604481535865,0.27303084150550616,7.0393351919662e-5,0.09870712048925961,0.27446451022854357,0.27456904422561357,0.00010453399706999988,0.36399030200178095,0.2755942584709794,0.2756932501805641,9.899170958471704e-5,0.22764274056922307,0.27675628674992186,0.2768430434541944,8.675670427255033e-5,0.2574535649194075,0.2775872680488553,0.27766935081747957,8.208276862425867e-5,0.18410381617892047,0.2787805999252179,0.27890089934036916,0.0001202994151512371,0.42996617717867985,0.27960872166565265,0.279697936515665,8.921485001234242e-5,0.2770736011218449,0.28064978687942155,0.2807672417281964,0.00011745484877484502,0.3463715636287682,0.28151266418936116,0.2816195750424407,0.00010691085307951154,0.3662205516140514,0.2826264628780372,0.2827479275232459,0.00012146464520867983,0.22744106347498572
0.7375,0.7000000000000001,0.2729207203195475,0.2729735581295015,5.283780995402054e-5,0.09870712048925961,0.27441928352560835,0.2744971943921441,7.791086653574641e-5,0.36399030200178095,0.2755475262027875,0.2756237305043873,7.620430159982483e-5,0.22764274056922307,0.27670834059121796,0.2767768982965944,6.855770537644856e-5,0.2574535649194075,0.27754200601270185,0.2776085185301478,6.6512517445938e-5,0.18410381617892047,0.278730271534034,0.2788237325582706,9.34610242365741e-5,0.42996617717867985,0.2795602926720752,0.27963343724404344,7.314457196822e-5,0.2770736011218449,0.2805987767561561,0.28069227134831226,9.349459215618472e-5,0.3463715636287682,0.2814624882737683,0.28154937783553796,8.688956176966522e-5,0.3662205516140514,0.2825716573475381,0.28266987058510307,9.821323756498135e-5,0.22744106347498572
0.78125,0.75,0.27289519156262493,0.27292512425876453,2.99326961396007e-5,0.09870712048925961,0.2743926298126058,0.27443646839926034,4.3838586654521006e-5,0.36399030200178095,0.2755186190001994,0.275564971448334,4.6352448134556745e-5,0.22764274056922307,0.276676650380695,0.27672098542652357,4.433504582856962e-5,0.2574535649194075,0.2775117873672431,0.2775570946912372,4.5307323994103754e-5,0.18410381617892047,0.2786998515417235,0.2787585308345259,5.867929280239936e-5,0.42996617717867985,0.2795275138776406,0.279578923285789,5.140940814840622e-5,0.2770736011218449,0.28056678651550404,0.2806289277991826,6.214128367854066e-5,0.3463715636287682,0.2814296968724966,0.2814900658110239,6.036893852734426e-5,0.3662205516140514,0.28253654610766576,0.2826039384305475,6.739232288172081e-5,0.22744106347498572
0.825,0.7999999999999999,0.27288367747012626,0.2728855214263412,1.843956214941933e-6,0.09870712048925961,0.27438437121090015,0.27438683078705983,2.459576159685728e-6,0.36399030200178095,0.27550759290067695,0.27551694061195736,9.347711280416338e-6,0.22764274056922307,0.27666113303666046,0.2766752764504175,1.4143413757050638e-5,0.2574535649194075,0.27749659095347234,0.27751505444654717,1.846349307482731e-5,0.18410381617892047,0.2786891987525457,0.2787052470082248,1.6048255679079748e-5,0.42996617717867985,0.2795103751852851,0.2795343631367136,2.3987951428494636e-5,0.2770736011218449,0.2805537739352785,0.2805771641744608,2.33902391822971e-5,0.3463715636287682,0.28141420318838056,0.2814415956566043,2.739246822375252e-5,0.3662205516140514,0.28252090588429724,0.28255007271555477,2.9166831257532166e-5,0.22744106347498572
0.8687499999999999,0.8499999999999999,0.272886025027078,0.2728547345796929,3.129044738509057e-5,0.09870712048925961,0.27439446043017207,0.27434825301701604,4.620741315602972e-5,0.36399030200178095,0.27551456174476774,0.2754796113928094,3.4950351958329406e-5,0.22764274056922307,0.27666170334889406,0.2766397484568443,2.195489204975809e-5,0.2574535649194075,0.27749636664228855,0.2774823774492129,1.3989193075658601e-5,0.18410381617892047,0.2786982913740437,0.2786638429450244,3.444842901934031e-5,0.42996617717867985,0.2795088229585507,0.27949973132512423,9.091633426439039e-6,0.2770736011218449,0.2805597664038065,0.28053694251835726,2.2823885449219095e-5,0.3463715636287682,0.2814159296388557,0.2814039323887447,1.1997250110973301e-5,0.3662205516140514,0.2825245228251929,0.28250822601512005,1.6296810072868873e-5,0.22744106347498572
0.9125000000000001,0.9000000000000001,0.27290210429546713,0.2728327521285426,6.935216692455226e-5,0.09870712048925961,0.274422975576417,0.2743207130885028,0.00010226248791417314,0.36399030200178095,0.27553971237877967,0.2754529628554638,8.67495233158877e-5,0.22764274056922307,0.27667826893855524,0.27661438381051917,6.38851280360675e-5,0.2574535649194075,0.27751103621654394,0.2774590479276122,5.19882889317147e-5,0.18410381617892047,0.27872722359219926,0.278634289322811,9.293426938827842e-5,0.42996617717867985,0.27952275557530715,0.2794750082221109,4.774735319623691e-5,0.2770736011218449,0.28058485731045635,0.2805082335420236,7.662376843275975e-5,0.3463715636287682,0.28143479902530705,0.28137704908959604,5.774993571100451e-5,0.3662205516140514,0.2825471913650554,0.28247836162749373,6.882973756167088e-5,0.22744106347498572
0.95625,0.9500000000000001,0.27293179806525464,0.2728195658944744,0.00011223217078021319,0.09870712048925961,0.2744701392485005,0.27430419536601525,0.00016594388248525327,0.36399030200178095,0.275583352347988,0.2754369798535329,0.0001463724944550937,0.22764274056922307,0.27671072872956937,0.276599170003842,0.00011155872572737868,0.2574535649194075,0.27754047249656133,0.2774450546744095,9.541782215183314e-5,0.18410381617892047,0.2787761982123639,0.278616565393065,0.00015963281929887163,0.42996617717867985,0.27955202379381494,0.27946017990343974,9.184389037519836e-5,0.2770736011218449,0.2806292114681071,0.28049101644383034,0.0001381950242767549,0.3463715636287682,0.2814707248657721,0.28136092669165796,0.00010979817411416182,0.3662205516140514,0.282588699326803,0.28246045342370485,0.00012824590309812312,0.22744106347498572
