Time [s],Current [A],Voltage_P2D [V],Voltage_sP2D [V],Voltage_Error [V],Concentration_P2D [c/c_max],Concentration_sP2D [c/c_max],Concentration_Error [c/c_max],Overpotential_Neg_P2D [V],Overpotential_Pos_P2D [V],Overpotential_Neg_sP2D [V],Overpotential_Pos_sP2D [V],Overpotential_Error [V],Stress_Neg_P2D [σ/E],Stress_Pos_P2D [σ/E],Stress_Neg_sP2D [σ/E],Stress_Pos_sP2D [σ/E],Stress_Error [σ/E]
0.0,2.2418334100827413,4.095794976927217,4.100083814235486,0.004288837308268789,0.9013973983641687,0.9013973983641687,0.0,0.0655183123604806,-0.006546494225600204,0.06552901653584661,-0.0064589571844006575,1.0704175366013646e-5,-3.961960626703949e-10,4.644398249759261e-11,-3.961960626703949e-10,4.644398249759261e-11,0.0
1.0,0.7954941714893673,4.145370046444618,4.146908148630275,0.0015381021856573085,0.9013973510999724,0.9013973510846769,1.5295542610260782e-11,0.028583527169630505,-0.00232843642084761,0.028588148184993986,-0.0022977036161911154,4.621015363481112e-6,1.974725453101829e-9,6.719772080648547e-10,1.981761302056116e-9,8.604727969084532e-10,7.035848954286882e-12
2.0,0.07238293220932485,4.1754916172897785,4.175190416708569,0.00030120058120974846,0.9007501509760208,0.9007499651243498,1.8585167105289457e-7,0.002727039070371653,-0.00017368315503458716,0.002732120184754098,-0.00019943988886689584,5.081114382445018e-6,3.1038551919449755e-5,1.1052518832886471e-5,3.111635204474788e-5,1.4374632299499848e-5,7.78001252981224e-8
3.0,0.8230926873576125,4.141909354253221,4.143225194061807,0.0013158398085861833,0.9008656504907864,0.9008654909464069,1.5954437948551004e-7,0.029345559778037822,-0.002376929210160884,0.02935201850288868,-0.0023685419413651365,6.4587248508572725e-6,2.34230823643471e-5,1.272067588845827e-5,2.3541330014004124e-5,1.6228437721424327e-5,1.1824764965702518e-7
4.0,0.3967845579262086,4.159915504248805,4.160442368132663,0.0005268638838575868,0.9008444216294365,0.9008442370420692,1.8458736728010905e-7,0.01472072248488626,-0.0011346984146972283,0.014725291290533462,-0.0011376442833807721,4.5688056472016625e-6,2.332569869905243e-5,1.421773960436849e-5,2.3533472852357387e-5,1.741154465988672e-5,2.077741533049578e-7
5.0,0.4158789276477873,4.1585126923049645,4.1590487708421735,0.0005360785372090504,0.9007371147198263,0.900736912078223,2.0264160327521097e-7,0.015391511554329279,-0.0011916753012597015,0.01539641858121277,-0.0011941083907222752,4.907026883490401e-6,2.737034551333443e-5,1.686464016070885e-5,2.7611654965234917e-5,2.0026029116474393e-5,2.4130945190048856e-7
6.0,0.7256644512236579,4.144831321791434,4.146028959589955,0.0011976377985210007,0.9007452822075572,0.9007450832109868,1.989965704440877e-7,0.02610541425907473,-0.002104860899389656,0.026111527031719282,-0.0020924781233757008,6.112772644551595e-6,2.5894890369404168e-5,1.7839728197865878e-5,2.615487358634665e-5,2.0597754965800958e-5,2.599832169424827e-7
7.000000000000001,0.41793919716588596,4.157734193013877,4.158300083133374,0.0005658901194962596,0.9006519757599167,0.9006517597837336,2.1597618315993827e-7,0.015445303939021555,-0.0012004964529332832,0.015450137066099899,-0.0012022095681283747,4.833127078343602e-6,2.9361465117025246e-5,2.000738536855304e-5,2.96461607717156e-5,2.283104796508203e-5,2.846956546903527e-7
8.0,0.41333632963262085,4.157520295649172,4.158088946953763,0.0005686513045910502,0.9005845142946172,0.9005842864708846,2.278237325459287e-7,0.015267316104574137,-0.001185452578402574,0.015272175619775702,-0.0011887087535914721,4.859515201564857e-6,3.14817221872021e-5,2.2013505937012612e-5,3.1783542611155555e-5,2.495168342652395e-5,3.018204239534536e-7
9.0,0.5179207874062048,4.152705665082409,4.153510196772629,0.0008045316902203226,0.9005910740211376,0.9005908465280139,2.2749312367231767e-7,0.018969803790103226,-0.0014959109570637599,0.01897510792083442,-0.0014929073288856246,5.304130731194345e-6,3.01187406586722e-5,2.2706669147463482e-5,3.043434779309483e-5,2.539473031257333e-5,3.1560713442263115e-7
