Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (c/c_max),Average Concentration (sP2D) (c/c_max),First Position Concentration (P2D) (c/c_max),First Position Concentration (sP2D) (c/c_max),Concentration Error (c/c_max),average Concentration Error (c/c_max),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (σ/E),Negative Stress (sP2D) (σ/E),Negative Stress Error (σ/E),average Negative Stress Error (σ/E),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (σ/E),Positive Stress (sP2D) (σ/E),Positive Stress Error (σ/E),average Positive Stress Error (σ/E),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
10.0,4.173392709442947,4.173601441347805,0.00020873190485826143,0.00827824680432259,0.0050014920567137905,0.21228580352729162,0.9011869427642047,0.9011868931435292,0.9011942557713959,0.9011959322434957,-4.96206755684625e-8,0.0004782413234142644,-5.506146750890701e-6,0.05983579227568604,7.949432683022288e-6,8.019416770976658e-6,6.998408795437039e-8,0.00012526121357467443,0.8803658165926277,70.97571353421924,5.749263140044036e-6,6.485062053836127e-6,7.357989137920906e-7,5.011435910590469e-5,12.798142924911499,28.811528674190974,0.136764
11.0,4.173302821974434,4.17351263525832,0.000209813283886362,0.00827824680432259,0.005027511609787691,0.21228580352729162,0.9011739639174784,0.9011739115335835,0.9011818568777029,0.9011836973791905,-5.238389488848583e-8,0.0004782413234142644,-5.81285045794806e-6,0.05983579227568604,8.299466197897003e-6,8.373522444747712e-6,7.405624685070966e-8,0.00012526121357467443,0.8923013249873194,70.97571353421924,6.1438346891268825e-6,6.877843838814705e-6,7.340091496878222e-7,5.011435910590469e-5,11.947084953096846,28.811528674190974,0.136764
12.0,4.173217473470043,4.173430262686129,0.0002127892160856959,0.00827824680432259,0.005098924689126278,0.21228580352729162,0.9011614910518674,0.9011614360241014,0.9011699649810468,0.9011719561664004,-5.5027766010518064e-8,0.0004782413234142644,-6.1063157443942394e-6,0.05983579227568604,8.623702224030528e-6,8.70114768346871e-6,7.744545943818215e-8,0.00012526121357467443,0.898053497514967,70.97571353421924,6.512867529037054e-6,7.244587766871837e-6,7.317202378347837e-7,5.011435910590469e-5,11.234993412233132,28.811528674190974,0.136764
13.000000000000002,4.17313615575467,4.173350268193985,0.0002141124393153504,0.00827824680432259,0.005130732171776703,0.21228580352729162,0.9011494530575019,0.9011493954717963,0.9011585099442797,0.9011606393885626,-5.758570564839971e-8,0.0004782413234142644,-6.39025030232418e-6,0.05983579227568604,8.925739935360218e-6,9.005977333366867e-6,8.023739800664923e-8,0.00012526121357467443,0.8989439372839074,70.97571353421924,6.85950965179143e-6,7.588432228323136e-6,7.289225765317059e-7,5.011435910590469e-5,10.626453107203377,28.811528674190974,0.136764
14.000000000000002,4.173058402757067,4.173275586305832,0.00021718354876476553,0.00827824680432259,0.0052044215010572615,0.21228580352729162,0.9011377937414106,0.9011377336580323,0.9011474361016547,0.9011496923343858,-6.008337827267951e-8,0.0004782413234142644,-6.667501761658547e-6,0.05983579227568604,9.208414954295094e-6,9.290924067014696e-6,8.250911271960158e-8,0.00012526121357467443,0.896018621327623,70.97571353421924,7.18642285972889e-6,7.912144566226704e-6,7.257217064978142e-7,5.011435910590469e-5,10.098511048724905,28.811528674190974,0.136764
15.0,4.172983856247772,4.173202455962088,0.0002185997143167029,0.00827824680432259,0.005238450994470453,0.21228580352729162,0.9011264677846301,0.9011264052470489,0.9011366983894898,0.9011390709450444,-6.253758122465314e-8,0.0004782413234142644,-6.939933900554308e-6,0.05983579227568604,9.474014626975339e-6,9.558343201385514e-6,8.432857441017558e-8,0.00012526121357467443,0.8901039076936512,70.97571353421924,7.495863027903714e-6,8.218110982117248e-6,7.222479542135333e-7,5.011435910590469e-5,9.635287511590464,28.811528674190974,0.136764
16.0,4.172912178059392,4.1731337909015975,0.00022161284220523214,0.00827824680432259,0.005310747812293833,0.21228580352729162,0.9011154380195419,0.9011153730610076,0.9011262597037067,0.9011287389532913,-6.495853421828457e-8,0.0004782413234142644,-7.208680650400295e-6,0.05983579227568604,9.724407883371305e-6,9.810156541596112e-6,8.574865822480677e-8,0.00012526121357467443,0.8817879633724188,70.97571353421924,7.78972634500791e-6,8.508310405338166e-6,7.185840603302552e-7,5.011435910590469e-5,9.22476642315893,28.811528674190974,0.136764
17.0,4.1728431109956565,4.17306615379118,0.00022304279552365358,0.00827824680432259,0.005345103795920923,0.21228580352729162,0.9011046735112522,0.9011046061551093,0.9011160890644636,0.9011186663131495,-6.735614288544411e-8,0.0004782413234142644,-7.474841143924333e-6,0.05983579227568604,9.961152344798414e-6,1.0047976486986369e-5,8.682414218795436e-8,0.00012526121357467443,0.8716274903002844,70.97571353421924,8.069636819892402e-6,8.78445920213159e-6,7.148223822391881e-7,5.011435910590469e-5,8.858172904102508,28.811528674190974,0.136764
18.0,4.172776404124799,4.17300232938297,0.00022592525817088926,0.00827824680432259,0.0054142670560435886,0.21228580352729162,0.9010941481968312,0.9010940784633252,0.9011061602812416,0.9011088275130855,-6.97335059696158e-8,0.0004782413234142644,-7.738759163974009e-6,0.05983579227568604,1.01855543988222e-5,1.0273145859561132e-5,8.759146073893096e-8,0.00012526121357467443,0.8599577137309239,70.97571353421924,8.336971823564089e-6,9.04795803860841e-6,7.109862150443203e-7,5.011435910590469e-5,8.528111046684224,28.811528674190974,0.136764
19.0,4.17271186912428,4.172939197057146,0.00022732793286639463,0.00827824680432259,0.005447966214693457,0.21228580352729162,0.9010838398695555,0.9010837677723734,0.9010964509820804,0.901099200987362,-7.209718211331761e-8,0.0004782413234142644,-8.001162480480695e-6,0.05983579227568604,1.0398730072159351e-5,1.0486824503530416e-5,8.809443137106467e-8,0.00012526121357467443,0.8471652861431703,70.97571353421924,8.592928088053934e-6,9.300062422635075e-6,7.071343345811415e-7,5.011435910590469e-5,8.229259308758957,28.811528674190974,0.136764
