Position,Normalized_Position,Conc_P2D_t40.3s_(c_cmax),Conc_sP2D_t40.3s_(c_cmax),Conc_Error_t40.3s_(c_cmax),Stress_P2D_t40.3s_(sigma_E),Stress_sP2D_t40.3s_(sigma_E),Stress_Error_t40.3s_(sigma_E),ReactionCurrent_P2D_t40.3s_[A_m2],ReactionCurrent_sP2D_t40.3s_[A_m2],ReactionCurrent_Error_t40.3s_[A_m2],Overpotential_P2D_t40.3s_[V],Overpotential_sP2D_t40.3s_[V],Overpotential_Error_t40.3s_[V],Potential_P2D_t40.3s_[V],Potential_sP2D_t40.3s_[V],Potential_Error_t40.3s_[V],Current_t40.3s,Conc_P2D_t504.0s_(c_cmax),Conc_sP2D_t504.0s_(c_cmax),Conc_Error_t504.0s_(c_cmax),Stress_P2D_t504.0s_(sigma_E),Stress_sP2D_t504.0s_(sigma_E),Stress_Error_t504.0s_(sigma_E),ReactionCurrent_P2D_t504.0s_[A_m2],ReactionCurrent_sP2D_t504.0s_[A_m2],ReactionCurrent_Error_t504.0s_[A_m2],Overpotential_P2D_t504.0s_[V],Overpotential_sP2D_t504.0s_[V],Overpotential_Error_t504.0s_[V],Potential_P2D_t504.0s_[V],Potential_sP2D_t504.0s_[V],Potential_Error_t504.0s_[V],Current_t504.0s,Conc_P2D_t1000.2s_(c_cmax),Conc_sP2D_t1000.2s_(c_cmax),Conc_Error_t1000.2s_(c_cmax),Stress_P2D_t1000.2s_(sigma_E),Stress_sP2D_t1000.2s_(sigma_E),Stress_Error_t1000.2s_(sigma_E),ReactionCurrent_P2D_t1000.2s_[A_m2],ReactionCurrent_sP2D_t1000.2s_[A_m2],ReactionCurrent_Error_t1000.2s_[A_m2],Overpotential_P2D_t1000.2s_[V],Overpotential_sP2D_t1000.2s_[V],Overpotential_Error_t1000.2s_[V],Potential_P2D_t1000.2s_[V],Potential_sP2D_t1000.2s_[V],Potential_Error_t1000.2s_[V],Current_t1000.2s
0.0,0.0,0.8771450196168225,0.8804423462299197,0.3759157880800205,0.0005644389287170631,0.0004887687278029361,13.40626896272392,2.8565782894092364,2.4532391490577594,14.119659938845604,0.11522287793199568,0.10920879403946614,5.219522373047339,0.09202000509884332,0.09202000430350224,8.643132368924348e-7,19.842655414285467,0.7489577407472033,0.7350604062595628,1.855556559676617,0.0006900056468551579,0.0008175469826188532,18.484100288887642,1.6439644670523224,1.9500391621159028,18.61808458745958,0.06544413644732965,0.07157077416661511,9.36162970721796,0.09202890082435869,0.09204068370048563,0.012803451982355944,7.169789876061197,0.5666624806732917,0.5350632908233698,5.576368813473712,0.0007864503388687935,0.0008582002894188744,9.123265259607345,3.0321212461743725,3.378608675906963,11.427228715532198,0.08753838100882949,0.0920767763986412,5.18446347477451,0.13034795116651396,0.13264473745070554,1.7620424898413134,15.496297297808516
0.049305555555555554,0.049305555555555554,0.876981267223866,0.8801825147945627,0.3650303250866863,0.0005684754957014803,0.0004950755148633756,12.911722913849012,2.888764823319217,2.49502332254766,13.630098843392327,0.11585164604154782,0.11006660838784851,4.993487664063594,0.09202000514226227,0.09202000436104399,8.489657040325927e-7,19.842655414285467,0.7466601422681679,0.7326215422434013,1.8801860753033997,0.0007025372571583902,0.0008313093560136606,18.329575768853232,1.6702658539116775,1.9783742615205324,18.44666864782518,0.06618845193899975,0.07227810905553918,9.200482770244795,0.09203023157954388,0.09204398429584923,0.014943694120194986,7.169789876061197,0.5638211077647208,0.5321490833223509,5.6173889210948955,0.0007898628909838903,0.0008686000287920416,9.968456387420945,3.0675176447486474,3.430868492159396,11.845110264737263,0.0882639159671856,0.09301080623053315,5.378064423418893,0.13075256390038523,0.13271543302137798,1.5012088959786483,15.496297297808516
0.09861111111111111,0.09861111111111111,0.8764741160391387,0.8793890068633639,0.3325700977226545,0.000580974590219129,0.0005143193033742648,11.473012411734489,2.988826990104773,2.6234205435863722,12.22574768389626,0.11777989545168749,0.11263994750996352,4.364028276652988,0.09202000527927205,0.09202000454197255,8.01238270954224e-7,19.842655414285467,0.7393696844578524,0.7254074160661377,1.8884015243271293,0.0007428789050208189,0.000872177898089378,17.405123795369516,1.754456691963421,2.0615067619127254,17.501148438476598,0.06856066264918559,0.07439696793319284,8.512615045555684,0.09203592345092926,0.09205716635700562,0.02308110276927199,7.169789876061197,0.5547134429736754,0.5235153867091062,5.6241752673821015,0.0008074344445330332,0.0009006935744910904,11.550055932031993,3.200083838557028,3.5900804024228545,12.187073324981466,0.09087938262262256,0.09586987541285184,5.491336589457643,0.13169853692176672,0.13287025270613662,0.8896953692552636,15.496297297808516
0.14791666666666664,0.14791666666666664,0.8755901514567364,0.8780194792580505,0.27745033418573606,0.0006027712747552068,0.0005474731618081558,9.173979461696852,3.164605382483253,2.8478258724692136,10.010079353573738,0.12107933807718155,0.11692849873908058,3.428197910575817,0.09202000552753728,0.0920200048735555,7.10695225068886e-7,19.842655414285467,0.7260082500010717,0.7140451116081696,1.6477964806714558,0.0008191850138849711,0.0009364986926792177,14.320779409511953,1.9121223985633788,2.188500610532497,14.454002117059414,0.07301858382731849,0.07791466805873432,6.705257723149721,0.09205583490448878,0.09209408660013332,0.04155271166051832,7.169789876061197,0.5376071719959775,0.510001201537601,5.1349706433200435,0.0008590203001072227,0.0009531890093083513,10.962338048282973,3.4988067598052965,3.8511398128830767,10.070091813169672,0.09650228237267112,0.10074925254061134,4.400901267328924,0.13257295287092,0.1330143429930919,0.3329413071168884,15.496297297808516
0.19722222222222222,0.19722222222222222,0.874270742812279,0.8760020869459584,0.19803294893640497,0.0006353094488694699,0.0005961814009227957,6.1588959547669875,3.4295941503551943,3.1849239733923245,7.134085440912301,0.12584440731318033,0.12293173371619444,2.314503806066904,0.09202000592166791,0.09202000541031952,5.556926334241864e-7,19.842655414285467,0.7051936490079244,0.7004148022607483,0.6776644619387946,0.0009439021521924398,0.0010075034582185142,6.738124908216927,2.1664168641318446,2.316405359101446,6.9233441380962795,0.0804857369797645,0.0828019969452039,2.877851470778926,0.09214675741580342,0.09218934503289528,0.04621716301929962,7.169789876061197,0.5100219892213581,0.49501710305364105,2.9420076947319003,0.0009661504658801353,0.0010109978996938856,4.641868466408655,4.03434916365671,4.16111281269035,3.1421090215885497,0.10634243079180533,0.10768458446602032,1.2621055059787232,0.13301417493594814,0.13311690482841063,0.0772322893495805,15.496297297808516
0.24652777777777776,0.24652777777777776,0.8724270717549002,0.8732324115120127,0.09231026674728775,0.0006807316583071953,0.0006628467408146343,2.627308025755141,3.8041188133217028,3.6605867715530516,3.773069370651992,0.13216634094496488,0.13064888036499364,1.1481445042071028,0.09202000652356855,0.09202000625297356,2.9406104289885145e-7,19.842655414285467,0.6774825315088946,0.6842112796195742,0.9931987612571,0.001113344610558846,0.0010696438314159679,3.9251799243849894,2.4967095304305618,2.3962329133914113,4.024361497183178,0.09071019298050417,0.08893611835458108,1.9557610535614045,0.09269514736609802,0.09247077346359812,0.24205571583346538,7.169789876061197,0.4729679038334414,0.48033871703723025,1.5584172084506878,0.0011227759442849383,0.0010639121410208278,5.242702568017619,4.77461296985022,4.481587309284612,6.137160486429958,0.11971171011464864,0.11664534353639561,2.5614591716352155,0.1332678665410961,0.1332117456507699,0.042111344454432584,15.496297297808516
0.2958333333333333,0.2958333333333333,0.8699297215988275,0.869566844928043,0.041713331752543326,0.0007421045630253414,0.0007508446712868405,1.1777461960169524,4.318682385100056,4.313241204287974,0.12599168743815692,0.1401253810792132,0.14007885397774134,0.03320390718193675,0.09202000744513056,0.0920200075901802,1.576283712572446e-7,19.842655414285467,0.6463284509855767,0.6595632819680705,2.0476943204824396,0.0012634676238993936,0.0011607712062607662,8.128140024805644,2.6999016566602303,2.4926798609401426,7.675160878875137,0.09840688262468067,0.09527702064759384,3.180531578288051,0.09613438131637367,0.09396622216793127,2.255342072995812,7.169789876061197,0.4319958005185066,0.45505937240762473,5.338841688145086,0.001289490186358441,0.0011557301350811535,10.373095715837113,5.572184850662476,4.987145176264125,10.499286905903622,0.13303987045836996,0.12746119065788833,4.1932390502644665,0.1338872470217471,0.13345513246228322,0.3227451225385848,15.496297297808516
0.34513888888888883,0.34513888888888883,0.8665857179103187,0.8648110962792173,0.20478316159891724,0.0008239921312660941,0.0008648764473612339,4.96173622827193,5.021121059039251,5.201811076308344,3.598599100569517,0.14978858040263482,0.15122014370412537,0.9557225908961015,0.09202000890179277,0.09202000979494585,9.706074688891814e-7,19.842655414285467,0.6173630027653346,0.6281130250053918,1.7412806066941056,0.0012496629445526714,0.0011887747616820886,4.8723684363049085,2.4387499178515,2.335438177205096,4.236258088218425,0.09745804597924944,0.09614947657966745,1.3427002218581376,0.10818209054424321,0.10238051289325721,5.362789369108497,7.169789876061197,0.38721116819044793,0.4162915694846408,7.510217597827607,0.0014350675923986876,0.0012881179533791695,10.23991063542133,6.269216812897198,5.68082755234414,9.38537106170276,0.14487092076631303,0.1395801680806008,3.652046012910054,0.13623465294455098,0.134398487716808,1.3477960181616229,15.496297297808516
0.39444444444444443,0.39444444444444443,0.8620899432027725,0.8587048702403728,0.39265890863124886,0.0009337086396034874,0.0010114026429898933,8.321011511620993,5.992063056377474,6.420536294074123,7.150679718575653,0.1612401421427881,0.16407067301451816,1.7554753016922207,0.09202001135306694,0.09202001366386686,2.5111928290706967e-6,19.842655414285467,0.5922013036649127,0.598924573661863,1.1353014516081725,0.0011263736055479117,0.0010412502439543397,7.557293705596442,2.09437561259376,1.880085388773239,10.231699726255663,0.09439089208825302,0.08994854460780288,4.706330645012506,0.12280344555838058,0.11935470181016786,2.808344450378789,7.169789876061197,0.3408063421083078,0.3665566084832662,7.555688727991752,0.0014567433947614396,0.0013923946002297792,4.4173047060356385,6.326712347349644,6.196430733076881,2.059230878851944,0.15186763749593804,0.15026947861823128,1.052336695334121,0.14461074912232944,0.13879667527961653,4.020499083228349,15.496297297808516
0.44375,0.44375,0.85592292203597,0.8509124498979477,0.5853882410467492,0.0010839076925896714,0.0011989796695391123,10.616400062122537,7.382053934726588,8.111697015930462,9.884011789340825,0.17473761560440546,0.17862769093318118,2.2262380743380397,0.09202001593138337,0.09202002106310807,5.576748325914698e-6,19.842655414285467,0.5632568411646055,0.5685373906337909,0.9375029441750277,0.0011114864635917458,0.000980936465968418,11.745531943003428,2.076130494574336,1.7572107752171215,15.361255961061444,0.09872026011729448,0.09143285191338979,7.38187702832849,0.1308258534153124,0.1300457457648593,0.5962947155227771,7.169789876061197,0.300205252182985,0.3173752214898488,5.719410030973794,0.0012433773689544873,0.0012762133613078248,2.6408709996827517,5.391321772168409,5.626867432659612,4.36897796950572,0.1509257086563994,0.1525990082069092,1.1086908687765462,0.16285107743811583,0.15364160874374583,5.655147536785346,15.496297297808516
