Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (mol/m³),Average Concentration (sP2D) (mol/m³),First Position Concentration (P2D) (mol/m³),First Position Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),average Concentration Error (mol/m³),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (Pa),Negative Stress (sP2D) (Pa),Negative Stress Error (Pa),average Negative Stress Error (Pa),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (Pa),Positive Stress (sP2D) (Pa),Positive Stress Error (Pa),average Positive Stress Error (Pa),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
10.0,4.154340345868195,4.15544898916946,0.0011086433012650332,0.002684099368845545,0.026686386019567764,0.06590568279918213,29864.803679162647,29864.803425773793,29864.843619701838,29864.849792968707,-0.0002533888546167873,0.4932244175006447,-8.484531066701183e-7,0.001688253410308909,22093.138533696983,22218.821503903535,125.68297020655154,33331.45454141086,0.5688778441997133,2.8065960463293687,325868.9891068085,385823.9960953709,59955.00698856241,3.241718321752391e6,18.398500315386332,17.117788423354423,0.58049
11.0,4.084301034350091,4.089254251943814,0.004953217593723025,0.002684099368845545,0.12127454739660735,0.06590568279918213,29860.708956714723,29860.70797379825,29860.89024208104,29860.900855234424,-0.0009829164737311658,0.4932244175006447,-3.2916715914413653e-6,0.001688253410308909,106901.29950870204,107149.84860432471,248.5490956226713,33331.45454141086,0.23250334351869947,2.8065960463293687,1.1487432372561179e6,1.4445435807263805e6,295800.3434702626,3.241718321752391e6,25.749909455555077,17.117788423354423,2.6467
12.0,4.05448757809754,4.061246286856543,0.006758708759003085,0.002684099368845545,0.16669699015761763,0.06590568279918213,29840.104088304706,29840.095264468306,29841.615509598872,29841.69883963566,-0.008823836400551954,0.4932244175006447,-2.9570394173022672e-5,0.001688253410308909,557718.1821250807,560107.6073217499,2389.425196669181,33331.45454141086,0.42842877877223284,2.8065960463293687,5.407998989811231e6,6.954905535640735e6,1.5469065458295038e6,3.241718321752391e6,28.604046501190254,17.117788423354423,3.8424
13.0,4.0451790995151775,4.051805545552727,0.006626446037549805,0.002684099368845545,0.16381094321247722,0.06590568279918213,29805.43394923911,29805.402315989762,29810.015390311153,29810.41520507688,-0.031633249345759396,0.4932244175006447,-0.00010613249047013774,0.001688253410308909,1.330678720306493e6,1.3424735164360225e6,11794.796129529364,33331.45454141086,0.8863744455771178,2.8065960463293687,1.356127972366173e7,1.741159924888415e7,3.850319525222419e6,3.241718321752391e6,28.39200727129298,17.117788423354423,4.1121
14.0,4.180175199450576,4.178060959554811,-0.002114239895765202,0.002684099368845545,-0.0505777819083537,0.06590568279918213,29773.690052046117,29773.62473141957,29781.652542398035,29782.69313218741,-0.06532062654514448,0.4932244175006447,-0.000219390429708109,0.001688253410308909,2.022552388947955e6,2.0528910447697428e6,30338.65582178766,33331.45454141086,1.5000182931018426,2.8065960463293687,2.2642084048477735e7,2.8714333799923066e7,6.072249751445331e6,3.241718321752391e6,26.818422449295596,17.117788423354423,-0.23677
15.0,4.059570904427117,4.0644487669856755,0.004877862558558377,0.002684099368845545,0.12015709722519889,0.06590568279918213,29779.90985817157,29779.839683955906,29787.626005328177,29788.959238175376,-0.07017421566342819,0.4932244175006447,-0.00023564280750894374,0.001688253410308909,1.7954275361685334e6,1.8318246749925e6,36397.13882396673,33331.45454141086,2.0272129111731636,2.8065960463293687,2.4964205264336042e7,3.0708503430127468e7,5.744298165791426e6,3.241718321752391e6,23.010138335938745,17.117788423354423,3.1954
16.0,4.0384388073547495,4.0453235885437016,0.006884781188952083,0.002684099368845545,0.1704812556875596,0.06590568279918213,29782.842150341698,29782.774093543154,29790.077952013475,29791.645136939132,-0.06805679854369373,0.4932244175006447,-0.00022851008711709844,0.001688253410308909,1.6492796791232696e6,1.6880829945521525e6,38803.31542888284,33331.45454141086,2.3527431957149956,2.8065960463293687,2.588747502901592e7,3.060615911302218e7,4.718684084006257e6,3.241718321752391e6,18.227672180146307,17.117788423354423,4.134
17.0,4.064544584698424,4.0684791704101535,0.003934585711729888,0.002684099368845545,0.09680262154196105,0.06590568279918213,29750.167875680236,29750.074870867855,29760.44367060542,29762.68303667674,-0.09300481238096836,0.4932244175006447,-0.0003126194540132215,0.001688253410308909,2.359042184479748e6,2.412727491071413e6,53685.30659166491,33331.45454141086,2.275724738831002,2.8065960463293687,3.2991633650911115e7,3.871369002566761e7,5.722056374756493e6,3.241718321752391e6,17.34396191259377,17.117788423354423,2.8259
18.0,4.068873934190687,4.0721903510473565,0.0033164168566690577,0.002684099368845545,0.08150699457167389,0.06590568279918213,29733.261213763235,29733.154211774872,29745.0274566251,29747.7212314352,-0.10700198836275376,0.4932244175006447,-0.00035987303105931617,0.001688253410308909,2.6573662363345358e6,2.719705048504029e6,62338.812169493176,33331.45454141086,2.345887116240358,2.8065960463293687,3.887914015906354e7,4.541948399869479e7,6.540343839631252e6,3.241718321752391e6,16.822244043652187,17.117788423354423,2.5489
19.0,4.063509086924281,4.0673035032242,0.0037944162999190567,0.002684099368845545,0.09337782243748091,0.06590568279918213,29729.960726294546,29729.852727440197,29741.40678003897,29744.356187919195,-0.10799885434971657,0.4932244175006447,-0.0003632660511865305,0.001688253410308909,2.606654998186479e6,2.6719091880010273e6,65254.189814548474,33331.45454141086,2.503368871597799,2.8065960463293687,4.194179935341401e7,4.8375051747838534e7,6.433252394424528e6,3.241718321752391e6,15.338522651868225,17.117788423354423,2.6931
20.0,4.072138266988458,4.075332721276906,0.003194454288448334,0.002684099368845545,0.07844660664753868,0.06590568279918213,29723.779093352645,29723.66817709223,29735.460142154643,29738.694041690105,-0.1109162604152516,0.4932244175006447,-0.00037315665705528223,0.001688253410308909,2.6486989465268697e6,2.717164127021276e6,68465.18049440626,33331.45454141086,2.5848607892634172,2.8065960463293687,4.4623143022068836e7,5.07807056480218e7,6.1575626259529665e6,3.241718321752391e6,13.799033884519698,17.117788423354423,2.3144
21.0,4.041566043221377,4.047111119115393,0.005545075894016094,0.002684099368845545,0.13720116991076872,0.06590568279918213,29718.313661636377,29718.201772230994,29730.240980895178,29733.676724876477,-0.1118894053834083,0.4932244175006447,-0.0003764998467185817,0.001688253410308909,2.680156457212934e6,2.749524628398831e6,69368.1711858972,33331.45454141086,2.5882134977311146,2.8065960463293687,4.68749172997988e7,5.271124296800671e7,5.836325668207906e6,3.241718321752391e6,12.45085005885004,17.117788423354423,3.5036
22.0,4.058960157504029,4.06294921963054,0.003989062126510845,0.002684099368845545,0.09827793256694181,0.06590568279918213,29706.205072242115,29706.083808710784,29719.35149112896,29723.139109834145,-0.12126353133135126,0.4932244175006447,-0.0004082094331351047,0.001688253410308909,2.8853922819030564e6,2.959989269842276e6,74596.98793921946,33331.45454141086,2.5853326220869737,2.8065960463293687,5.019539959754408e7,5.616809084313527e7,5.972691245591186e6,3.241718321752391e6,11.898881757051322,17.117788423354423,2.7033
23.0,4.107939622534316,4.108710742725611,0.000771120191295438,0.002684099368845545,0.018771458739690775,0.06590568279918213,29693.858674016046,29693.727359944514,29708.228633191393,29712.371260728898,-0.1313140715319605,0.4932244175006447,-0.0004422263639547406,0.001688253410308909,3.0870183743742383e6,3.166984194541078e6,79965.82016683975,33331.45454141086,2.5903901586931575,2.8065960463293687,5.383206734315437e7,6.013243965228375e7,6.30037230912938e6,3.241718321752391e6,11.70375320897011,17.117788423354423,1.057
24.0,4.171568468956489,4.169776006974227,-0.001792461982262239,0.002684099368845545,-0.04296853798759823,0.06590568279918213,29700.890208765246,29700.76685817691,29714.391618362537,29718.462363331066,-0.12335058833559742,0.4932244175006447,-0.0004153093980300784,0.001688253410308909,2.8156498767067315e6,2.889998226743598e6,74348.3500368665,33331.45454141086,2.640539601600841,2.8065960463293687,5.3769402054553516e7,5.931678701173182e7,5.547384957178302e6,3.241718321752391e6,10.3169920906876,17.117788423354423,-0.44999
25.0,4.173042772188204,4.171907451470341,-0.001135320717862598,0.002684099368845545,-0.02720606473120988,0.06590568279918213,29722.95229675699,29722.843442213503,29734.970988711713,29738.802032292235,-0.10885454348681378,0.4932244175006447,-0.0003662305897476095,0.001688253410308909,2.2488633206448564e6,2.3138526607560185e6,64989.34011116205,33331.45454141086,2.8898750544131113,2.8065960463293687,4.951437896538033e7,5.311680663524524e7,3.602427669864908e6,3.241718321752391e6,7.275518233569421,17.117788423354423,-0.4451
26.0,4.226779053096286,4.223441533740031,-0.0033375193562550365,0.002684099368845545,-0.07896129214064712,0.06590568279918213,29743.517252070942,29743.420230892472,29754.569654048686,29758.184929943738,-0.09702117846973124,0.4932244175006447,-0.00032619268813265844,0.001688253410308909,1.7666483477377868e6,1.823441724145322e6,56793.37640753528,33331.45454141086,3.2147527537248624,2.8065960463293687,4.394236575450413e7,4.5444357927914195e7,1.5019921734100655e6,3.241718321752391e6,3.418095834442209,17.117788423354423,-1.8319
