Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),average Voltage Error (V),Voltage Error Percentage (%),average Voltage Error Percentage (%),Average Concentration (P2D) (c/c_max),Average Concentration (sP2D) (c/c_max),First Position Concentration (P2D) (c/c_max),First Position Concentration (sP2D) (c/c_max),Concentration Error (c/c_max),average Concentration Error (c/c_max),Concentration Error Percentage (%),average Concentration Error Percentage (%),Negative Stress (P2D) (σ/E),Negative Stress (sP2D) (σ/E),Negative Stress Error (σ/E),average Negative Stress Error (σ/E),Negative Stress Error Percentage (%),average Negative Stress Error Percentage (%),Positive Stress (P2D) (σ/E),Positive Stress (sP2D) (σ/E),Positive Stress Error (σ/E),average Positive Stress Error (σ/E),Positive Stress Error Percentage (%),average Positive Stress Error Percentage (%),Current (A)
0.0,4.039466934374452,4.048292146202781,0.008825211828329849,0.004789678361275263,0.21847466439768032,0.12282049375845745,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.9013973983641687,0.0,0.0002695050960678391,0.0,0.04374564635915747,-3.961960626703949e-10,-3.961960626703949e-10,0.0,8.375323447382842e-6,-0.0,4.752992996964966,4.644398249759261e-11,4.644398249759261e-11,0.0,2.4572738580798122e-5,0.0,45.1360994375399,4.715944874005175
1.0,4.042076310584192,4.050656345669631,0.008580035085438809,0.004789678361275263,0.2122680134210221,0.12282049375845745,0.9013972986398158,0.9013972985693532,0.9013973093948994,0.9013973101416783,7.046252470388481e-11,0.0002695050960678391,7.81703304527436e-9,0.04374564635915747,5.081355894773845e-9,5.133932517638717e-9,5.25766228648723e-11,8.375323447382842e-6,1.0346967217735556,4.752992996964966,1.366789294790535e-9,1.779392148646105e-9,4.1260285385557e-10,2.4572738580798122e-5,30.187744038396403,45.1360994375399,4.579319844656194
2.0,4.0369426031095905,4.044092930944056,0.007150327834465564,0.004789678361275263,0.17712235564007733,0.12282049375845745,0.8994101954593282,0.8994088164156002,0.8996219097303669,0.8996364164595954,1.3790437279892487e-6,0.0002695050960678391,0.00015332756232377061,0.04374564635915747,0.00010526355863828237,0.00010624950195301299,9.859433147306137e-7,8.375323447382842e-6,0.9366425831361211,4.752992996964966,3.394237121632023e-5,4.453554948486164e-5,1.0593178268541407e-5,2.4572738580798122e-5,31.209305328226378,45.1360994375399,4.553613903856867
3.0,4.028353616954495,4.035392919498443,0.007039302543947912,0.004789678361275263,0.1747439081395676,0.12282049375845745,0.8983795325125444,0.8983769879217423,0.8986990039333353,0.8987340456399926,2.5445908021781705e-6,0.0002695050960678391,0.0002832422946081131,0.04374564635915747,0.00015361508427254937,0.0001559865581551806,2.3714738826312233e-6,8.375323447382842e-6,1.5437767025689153,4.752992996964966,6.274604659769662e-5,8.12597804824034e-5,1.851373388470678e-5,2.4572738580798122e-5,29.505817320108914,45.1360994375399,4.742993429740316
4.0,4.034288884458632,4.040097175327958,0.005808290869325994,0.004789678361275263,0.14397310246426287,0.12282049375845745,0.8975539784737236,0.8975499355602892,0.8979656161699748,0.8980360830021982,4.042913434476603e-6,0.0002695050960678391,0.00045043680173436626,0.04374564635915747,0.0001903120975624145,0.0001949427555055146,4.630657943100109e-6,8.375323447382842e-6,2.4331915849865746,4.752992996964966,8.822870726982152e-5,0.00011149470059889196,2.3265993329070435e-5,2.4572738580798122e-5,26.370094325329106,45.1360994375399,4.207183253049076
5.0,4.023800980454432,4.0301623502516986,0.006361369797266647,0.004789678361275263,0.1580935495608985,0.12282049375845745,0.8969375672336192,0.8969324469008554,0.8974127974055612,0.8975158927274055,5.120332763786095e-6,0.0002695050960678391,0.0005708683581599205,0.04374564635915747,0.00021439172064083759,0.00022078345449365287,6.391733852815281e-6,8.375323447382842e-6,2.981334276207015,4.752992996964966,0.00010956689051701923,0.00013472952363846632,2.5162633121447088e-5,2.4572738580798122e-5,22.965544611799064,45.1360994375399,4.543647555245838
6.0,4.02050662432098,4.026893168473557,0.006386544152577223,0.004789678361275263,0.15884923840054213,0.12282049375845745,0.8964073312807289,0.8964013280476378,0.8969365819202652,0.897070720672528,6.003233091078641e-6,0.0002695050960678391,0.000669699240690235,0.04374564635915747,0.00023358996819579155,0.00024146820812042207,7.878239924630518e-6,8.375323447382842e-6,3.3726790518791017,4.752992996964966,0.00012823462676322603,0.00015392665435592378,2.569202759269775e-5,2.4572738580798122e-5,20.035171654638823,45.1360994375399,4.539716600581291
7.000000000000001,4.02088592106578,4.026869716242217,0.005983795176437212,0.004789678361275263,0.1488178300480393,0.12282049375845745,0.8958292116054326,0.8958222505717762,0.896426862875022,0.8965935591776423,6.961033656383009e-6,0.0002695050960678391,0.0007770491926589453,0.04374564635915747,0.00025611205940171084,0.00026549099523444277,9.378935832731936e-6,8.375323447382842e-6,3.662043815758441,4.752992996964966,0.0001467013471424684,0.00017298352501920566,2.628217787673727e-5,2.4572738580798122e-5,17.91543049104617,45.1360994375399,4.3535995220419075
8.0,4.0086005179077775,4.01555841691508,0.0069578990073022595,0.004789678361275263,0.17357426803242093,0.12282049375845745,0.8953543789770503,0.8953466939172778,0.8960048699231687,0.896199520678674,7.68505977244427e-6,0.0002695050960678391,0.0008583260385931784,0.04374564635915747,0.00027219389697045375,0.00028269378767143885,1.0499890700985104e-5,8.375323447382842e-6,3.8575040872885005,4.752992996964966,0.00016304645911561537,0.00018963626226937112,2.6589803153755754e-5,2.4572738580798122e-5,16.30811444663209,45.1360994375399,4.841891347447344
9.0,4.013712942587541,4.0198724033510205,0.006159460763479174,0.004789678361275263,0.15346042060268322,0.12282049375845745,0.8948299148254466,0.8948213467034696,0.8955472139603853,0.8957724846239817,8.568121977026166e-6,0.0002695050960678391,0.0009575140297692818,0.04374564635915747,0.00029168834021477607,0.0003034690644743367,1.1780724259560608e-5,8.375323447382842e-6,4.038805339591641,4.752992996964966,0.0001793561794972171,0.00020660922774795186,2.7253048250734766e-5,2.4572738580798122e-5,15.194931296558769,45.1360994375399,4.426980204170405
