Position,Normalized_Position,Conc_P2D_t60s,Conc_sP2D_t60s,Conc_Error_t60s,Stress_P2D_t60s,Stress_sP2D_t60s,Stress_Error_t60s,Current_t60s,Conc_P2D_t120s,Conc_sP2D_t120s,Conc_Error_t120s,Stress_P2D_t120s,Stress_sP2D_t120s,Stress_Error_t120s,Current_t120s,Conc_P2D_t180s,Conc_sP2D_t180s,Conc_Error_t180s,Stress_P2D_t180s,Stress_sP2D_t180s,Stress_Error_t180s,Current_t180s,Conc_P2D_t240s,Conc_sP2D_t240s,Conc_Error_t240s,Stress_P2D_t240s,Stress_sP2D_t240s,Stress_Error_t240s,Current_t240s,Conc_P2D_t300s,Conc_sP2D_t300s,Conc_Error_t300s,Stress_P2D_t300s,Stress_sP2D_t300s,Stress_Error_t300s,Current_t300s,Conc_P2D_t360s,Conc_sP2D_t360s,Conc_Error_t360s,Stress_P2D_t360s,Stress_sP2D_t360s,Stress_Error_t360s,Current_t360s,Conc_P2D_t420s,Conc_sP2D_t420s,Conc_Error_t420s,Stress_P2D_t420s,Stress_sP2D_t420s,Stress_Error_t420s,Current_t420s,Conc_P2D_t480s,Conc_sP2D_t480s,Conc_Error_t480s,Stress_P2D_t480s,Stress_sP2D_t480s,Stress_Error_t480s,Current_t480s,Conc_P2D_t540s,Conc_sP2D_t540s,Conc_Error_t540s,Stress_P2D_t540s,Stress_sP2D_t540s,Stress_Error_t540s,Current_t540s,Conc_P2D_t600s,Conc_sP2D_t600s,Conc_Error_t600s,Stress_P2D_t600s,Stress_sP2D_t600s,Stress_Error_t600s,Current_t600s
0.5988200589970502,0.5,22026.42401705643,22027.957144912874,1.5331278564444801,2.4715042412994824e7,2.4848839819176227e7,133797.4061814025,1.9394,21833.42932028852,21832.98083444229,0.44848584623105126,-5.217438249867618e6,-5.28394754564421e6,66509.29577659164,-1.62405,22084.90777730709,22085.281767009095,0.37398970200592885,1.0834023684814125e7,1.0827673049718581e7,6350.635095544159,0.2742,22204.84315346927,22205.24978903756,0.4066355682880385,1.1872647038512044e7,1.1860545132318221e7,12101.906193822622,1.07715,22453.233451284617,22454.92266762242,1.6892163378033729,2.6704997952479865e7,2.6811283203759376e7,106285.25127951056,3.9568,22450.724773433292,22451.370379434706,0.6456060014133982,1.3419872268942812e7,1.3413899660402821e7,5972.608539991081,-0.319715,22558.179808340756,22558.729546201524,0.5497378607688006,1.249223100751307e7,1.2467036420284979e7,25194.587228091434,0.00031308,22456.172938903976,22456.13424152832,0.0386973756540101,-1.830484297597456e6,-1.889990712739998e6,59506.415142541984,-1.21865,22543.336589699553,22543.99979209638,0.6632023968268186,8.090024680297133e6,8.1069910296734935e6,16966.349376360886,-0.699,22498.823096589356,22499.109015840488,0.2859192511314177,47509.73101860868,27446.864284582454,20062.86673402623,0.0064295
0.6389380530973452,0.55,22016.33266782002,22017.77684433151,1.4441765114897862,2.3846111965016216e7,2.397206599543602e7,125954.03041980416,1.9394,21835.47541681615,21835.059237738253,0.4161790778962313,-4.776801878190185e6,-4.839297503905849e6,62495.62571566366,-1.62405,22080.786274814433,22081.150676149457,0.36440133502401295,1.0815443905154299e7,1.0810005913028313e7,5437.992125986144,0.2742,22200.139553525558,22200.54006641117,0.4005128856115334,1.1889710048871329e7,1.1878925320945723e7,10784.727925606072,1.07715,22441.252794002623,22442.854487561533,1.6016935589104833,2.6068793338294163e7,2.616846139708877e7,99668.05879460648,3.9568,22444.354505869145,22444.987746143204,0.6332402740590624,1.3433802563863454e7,1.3428773516516645e7,5029.047346809879,-0.319715,22552.031164465352,22552.57854462806,0.5473801627085777,1.2599735139816452e7,1.2576611763815995e7,23123.376000456512,0.00031308,22455.306661392184,22455.297197249052,0.00946414313148125,-1.3707920322363432e6,-1.42676464224584e6,55972.6100094968,-1.21865,22538.744561674503,22539.394837213167,0.6502755386645731,8.030665181003543e6,8.046761694286659e6,16096.513283116743,-0.699,22497.28108668767,22497.573163638062,0.292076950390765,255164.9480952169,236254.02243246563,18910.92566275128,0.0064295
0.6790560471976401,0.6,22007.492799710286,22008.72026768775,1.2274679774636752,2.3085320408427853e7,2.3192178068533223e7,106857.66010536999,1.9394,21837.251612593947,21836.918689233808,0.33292336013983004,-4.3904731310852105e6,-4.442916989577093e6,52443.85849188268,-1.62405,22077.130570059548,22077.473384028097,0.3428139685493079,1.0797154035438415e7,1.0793920416165793e7,3233.6192726213485,0.2742,22195.955682154927,22196.341548216467,0.38586606154058245,1.190252203366355e7,1.1894927740907537e7,7594.292756013572,1.07715,22430.730515758154,22432.128432727965,1.397916969810467,2.5514045280694567e7,2.559860912228172e7,84563.84158715233,3.9568,22438.69393723161,22439.297092800276,0.6031555686677166,1.3444408622044683e7,1.3441626943550052e7,2781.6784946303815,-0.319715,22546.552231714602,22547.095057195256,0.5428254806538462,1.2692234270917939e7,1.2674343292495556e7,17890.978422382846,0.00031308,22454.485773153334,22454.550807414194,0.06503426086055697,-966556.6068665195,-1.0135828018307185e6,47026.19496419898,-1.21865,22534.669167864755,22535.288208206937,0.6190403421824158,7.97909850680722e6,7.993050123295949e6,13951.616488728672,-0.699,22495.90269442969,22496.216485230645,0.31379080095575773,438567.5290916703,422604.55939454545,15962.969697124849,0.0064295
0.719174041297935,0.6499999999999999,21999.84606511139,22000.768946983848,0.9228818724586745,2.24275053106791e7,2.2507545907982275e7,80040.59730317444,1.9394,21838.775236270383,21838.55958108725,0.2156551831321849,-4.056050128630161e6,-4.0942741622921345e6,38224.03366197366,-1.62405,22073.93301872144,22074.24336663101,0.3103479095698276,1.0779768461646732e7,1.0779515479324406e7,252.98232232593,0.2742,22192.28731879869,22192.649080215524,0.3617614168324508,1.1911952688146695e7,1.1908718267662885e7,3234.420483810827,1.07715,22421.605689920754,22422.718840005415,1.1131500846604467,2.5035986546937495e7,2.5099800527986195e7,63813.98104869947,3.9568,22433.73534174787,22434.29177498953,0.5564332416615798,1.3452350461531555e7,1.3452626847720023e7,276.38618846796453,-0.319715,22541.740908135882,22542.272482373573,0.5315742376915296,1.2770932244115025e7,1.2760349630481344e7,10582.613633681089,0.00031308,22453.7272093215,22453.89454539327,0.16733607176865917,-615729.722846138,-649993.9535434644,34264.23069732648,-1.21865,22531.102833028046,22531.67529939891,0.5724663708642765,7.934825051397291e6,7.94578342339998e6,10958.372002689168,-0.699,22494.688152520983,22495.032973207217,0.34482068623401574,598359.4818065015,586661.1165514461,11698.365255055367,0.0064295
0.7592920353982301,0.7,21993.343267162883,21993.90723424231,0.5639670794262202,2.1868315376866125e7,2.191678947476191e7,48474.097895786166,1.9394,21840.06101916931,21839.982060686223,0.07895848308544373,-3.771496172235979e6,-3.7929256540071187e6,21429.481771139894,-1.62405,22071.187196020725,22071.45499033559,0.2677943148664781,1.0763805580258535e7,1.0766874724089174e7,3069.143830638379,0.2742,22189.13078704231,22189.458117687493,0.32733064518106403,1.191873167189883e7,1.1920432486675203e7,1700.8147763721645,1.07715,22413.827832835665,22414.604098332693,0.776265497028362,2.4630700468670025e7,2.4670430502797734e7,39730.034127708524,3.9568,22429.47200605908,22429.965890915886,0.49388485680537997,1.3458180501803046e7,1.3461911383080987e7,3730.8812779411674,-0.319715,22537.595297301028,22538.104948203127,0.5096509020986559,1.2836852703060146e7,1.28347263445576e7,2126.3585025463253,0.00031308,22453.045389228468,22453.32775589488,0.28236666641168995,-316555.42959102534,-335613.70972557005,19058.280134544708,-1.21865,22528.0391520871,22528.55209067166,0.5129385845575598,7.89742562646492e6,7.904905348768462e6,7479.7223035423085,-0.699,22493.6380599439,22494.01742681879,0.3793668748912751,735093.5045884628,728564.9740664717,6528.530521991081,0.0064295
0.7994100294985251,0.75,21987.943481470105,21988.122056371907,0.17857490180176683,2.1404132107944883e7,2.1418756748853367e7,14624.640908483416,1.9394,21841.121311876563,21841.186106416422,0.06479453985957662,-3.535107987421453e6,-3.538506740986289e6,3398.7535648359917,-1.62405,22068.8877706959,22069.103465646665,0.21569495076619205,1.074969671185203e7,1.0756067856681265e7,6371.144829234108,0.2742,22186.48294251922,22186.764725159348,0.281782640129677,1.192346338268297e7,1.1930179843232397e7,6716.460549427196,1.07715,22407.355552952777,22407.766249597164,0.4106966443869169,2.429499976808643e7,2.430917820083565e7,14178.432749219239,3.9568,22425.89820108442,22426.314297608915,0.41609652449551504,1.3462355395160092e7,1.3469593472544521e7,7238.0773844290525,-0.319715,22534.113729891913,22534.587330598482,0.4736007065694139,1.2890853483925482e7,1.2897549362796934e7,6695.878871452063,0.00031308,22452.452413562605,22452.849727959325,0.3973143967195938,-67551.65179725176,-70119.34671003348,2567.6949127817206,-1.21865,22525.472782107507,22525.915130971345,0.44234886383856065,7.8665527401061095e6,7.870373197243124e6,3820.457137014717,-0.699,22492.75320636833,22493.165416034175,0.41220966584660346,849237.7696003483,848436.9639340815,800.8056662668241,0.0064295
0.8395280235988201,0.8,21983.61335142747,21983.402705704906,0.21064572256364045,2.1032006911688432e7,2.10125048526316e7,19502.059056833386,1.9394,21841.96625278113,21842.17159295954,0.20534017841055174,-3.345490612167753e6,-3.3307228536009616e6,14767.758566791192,-1.62405,22067.030405537967,22067.184806913752,0.15440137578480062,1.0737793395817522e7,1.074715180720014e7,9358.411382617429,0.2742,22184.34116125049,22184.56557448324,0.22441323275052127,1.1926638635326868e7,1.1938047046615653e7,11408.411288784817,1.07715,22402.15550917686,22402.190650348788,0.03514117192753474,2.4026333624282114e7,2.401497617390758e7,11357.450374532491,3.9568,22423.009155161977,22423.33262394986,0.32346878788303,1.3465245316342806e7,1.3475763772239266e7,10518.45589645952,-0.319715,22531.294779452313,22531.71526898079,0.4204895284783561,1.2933638189673165e7,1.2948877961206071e7,15239.77153290622,0.00031308,22451.958220976547,22452.459756623426,0.501535646879347,132504.74956471467,146754.6348397224,14249.88527500772,-1.21865,22523.399358783776,22523.761524190006,0.3621654062299058,7.841924026640597e6,7.842155209711223e6,231.18307062610984,-0.699,22492.0344389194,22492.473248954655,0.43881003525530105,941179.965179769,946378.1825989534,5198.217419184395,0.0064295
0.879646017699115,0.8499999999999999,21980.326532680738,21979.740661922577,0.5858707581610361,2.074961158170655e7,2.069728402221827e7,52327.55948828161,1.9394,21842.603898646445,21842.938345625196,0.3344469787516573,-3.2015376943751355e6,-3.1693424711547806e6,32195.223220354877,-1.62405,22065.611678517904,22065.695799342866,0.0841208249621559,1.0728373148547733e7,1.0740171819519786e7,11798.670972052962,0.2742,22182.703329498905,22182.85794442675,0.15461492784379516,1.1928643866701746e7,1.1944101070326159e7,15457.203624412417,1.07715,22398.201615976523,22397.86569179468,0.3359241818434384,2.3822717130494665e7,2.3786984870085075e7,35732.26040958986,3.9568,22420.80103197496,22421.017280815362,0.21624884040284087,1.3467141311875647e7,1.3480493150544785e7,13351.83866913803,-0.319715,22529.137273776712,22529.485179153948,0.3479053772352927,1.296576530991151e7,1.2988757261639694e7,22991.951728183776,0.00031308,22451.57071105811,22452.15719546842,0.5864844103089126,284589.84986255487,315220.326396542,30630.476533987152,-1.21865,22521.815427152404,22522.0889177691,0.2734906166951987,7.823316840559828e6,7.8202283833142985e6,3088.4572455296293,-0.699,22491.482559079206,22491.93794407418,0.45538499497342855,1.0112302894944071e6,1.0224705679337708e6,11240.278439363698,0.0064295
0.91976401179941,0.9,21978.06326583915,21977.129447375864,0.9338184632870252,2.055520016816154e7,2.047252456706939e7,82675.6010921523,1.9394,21843.040322770503,21843.48618372481,0.4458609543071361,-3.1024165267068464e6,-3.054191412292258e6,48225.11441458855,-1.62405,22064.629023526897,22064.6339703516,0.0049468247016193345,1.0721643988638636e7,1.0735162175484005e7,13518.186845369637,0.2742,22181.567834976344,22181.63971910097,0.07188412462710403,1.192976810449259e7,1.1948391514084572e7,18623.40959198214,1.07715,22395.474450251942,22394.78257445863,0.6918757933126471,2.368267885840122e7,2.362457216255285e7,58106.69584837183,3.9568,22419.270911998236,22419.36546864667,0.09455664843335398,1.3468260872336738e7,1.3483834672799338e7,15573.800462599844,-0.319715,22527.640304274242,22527.894262871432,0.2539585971899214,1.2987655359916642e7,1.301722025135765e7,29564.891441008076,0.00031308,22451.29583980644,22451.941498182852,0.6456583764120296,389441.96494727646,435439.4809275312,45997.51598025474,-1.21865,22520.718392210787,22520.895491962627,0.17709975183970528,7.810564493793459e6,7.804576656631318e6,5987.837162140757,-0.699,22491.098247890273,22491.557206646245,0.4589587559712527,1.059623934608079e6,1.0767773820540588e6,17153.447445979808,0.0064295
0.9598820058997051,0.9500000000000001,21976.81006350762,21975.564515194386,1.2455483132325753,2.0447581092741605e7,2.033782677737269e7,109754.31536891311,1.9394,21843.279685560025,21843.814954382105,0.5352688220809796,-3.047557141692973e6,-2.9851484086610056e6,62408.733031967655,-1.62405,22064.080685959438,22063.997568988674,0.08311697076351265,1.0717747724285275e7,1.0732146898132807e7,14399.1738475319,0.2742,22180.933560604728,22180.90938810423,0.02417250049620634,1.1930208175925797e7,1.195095251055691e7,20744.334631113335,1.07715,22393.960824358786,22392.935135306136,1.025689052650705,2.3605223282720145e7,2.352729762276211e7,77925.65995803475,3.9568,22418.41677827974,22418.37518386474,0.041594415000872687,1.3468752043039141e7,1.3485825152475668e7,17073.109436526895,-0.319715,22526.803230846344,22526.940516265488,0.13728541914315429,1.2999595988197187e7,1.303428938262046e7,34693.39442327246,0.00031308,22451.137687601233,22451.812251606745,0.6745640055123658,447568.3805023825,507525.92407511984,59957.54357273731,-1.21865,22520.106479022546,22520.179952587598,0.0734735650512448,7.803553212181541e6,7.795189541130889e6,8363.67105065193,-0.699,22490.88201130788,22491.329410802802,0.4473994949221378,1.0865228269127328e6,1.1093435631852404e6,22820.73627250758,0.0064295
