Time (s),Voltage (P2D) (V),Voltage (sP2D) (V),Voltage Error (V),Voltage Error Percentage (%),Concentration (P2D) (mol/m³),Concentration (sP2D) (mol/m³),Concentration Error (mol/m³),Concentration Error Percentage (%),Stress (P2D) (Pa),Stress (sP2D) (Pa),Stress Error (Pa),Stress Error Percentage (%),Current (A)
17.0,4.094910216904021,4.098278157913749,0.0033679410097287032,0.08224700497279898,29800.89932456745,29801.811762221954,0.9124376545041741,0.0030617789234030704,902250.2964833144,888746.136846894,-13504.159636420314,-1.4967198890435667,1.8790930449560548
18.0,4.154706096297967,4.15470954627119,3.4499732226578317e-6,8.303772018270836e-5,29790.849527522976,29791.836275376503,0.9867478535270493,0.0033122514771370282,1.0773310967705655e6,1.0627598476087882e6,-14571.24916177732,-1.352532123639284,0.2757713780201007
19.0,4.1240517142920154,4.125549518679428,0.001497804387412316,0.03631875861841483,29789.847078869927,29790.86694640646,1.0198675365318195,0.0034235406910001097,1.0641153169856798e6,1.0493354251111671e6,-14779.891874512658,-1.3889370483247687,0.9928689795732477
20.0,4.093390447210629,4.096772675161794,0.003382227951164829,0.08262656579632151,29793.48227744003,29794.506521781994,1.0242443419629126,0.003437813453375614,962697.1370201055,948262.1815520365,-14434.955468068947,-1.499428523569763,1.884888793246318
21.0,4.153267696637124,4.153272952156506,5.255519382352247e-6,0.00012653938455755236,29783.55146425341,29784.64194204957,1.090477796158666,0.0036613423938628375,1.1350882321091495e6,1.1197434975155315e6,-15344.734593617963,-1.3518539052338991,0.27662100421915453
22.0,4.122636335408699,4.124142624954002,0.0015062895453032965,0.036537046267360616,29782.685149301196,29783.802886290807,1.117736989610421,0.0037529758784581816,1.1188432399932034e6,1.1033988547177932e6,-15444.385275410255,-1.3803886660211733,0.9959245106827039
23.0,4.091985002082293,4.0953780640928485,0.0033930620105557807,0.08291970788820462,29786.457155803913,29787.57535558489,1.1181997809762834,0.0037540543177972453,1.0144189326836006e6,999388.5615857395,-15030.37109786109,-1.4816729670156004,1.890683015459924
24.0,4.151942129680494,4.15195028146233,8.151781836218674e-6,0.00019633659578116474,29776.612492519285,29777.79000675427,1.1775142349833914,0.003954493598891465,1.1848427671140968e6,1.1690310204161524e6,-15811.746697944356,-1.334501685523792,0.277470395505115
25.0,4.1213210006380345,4.122832025611992,0.0015110249739578308,0.036663607948128875,29775.853270531843,29777.053419385422,1.2001488535788667,0.004030611121954357,1.166206473560885e6,1.150374476151544e6,-15831.997409341158,-1.357563842104209,0.9989791566889981
26.0,4.090670235377549,4.094074402184458,0.003404166806909359,0.08321782522259878,29779.736453645237,29780.934364373894,1.197910728657007,0.004022569946250732,1.059338401445048e6,1.0439613291111792e6,-15377.07233386871,-1.451573200111766,1.8964754828509018
27.0,4.150707577143699,4.150714937195846,7.3600521472982905e-6,0.0001773204209284022,29769.955274138127,29771.206427615016,1.251153476889158,0.0042027388532090435,1.2282919461981035e6,1.2122418313760313e6,-16050.11482207221,-1.3067019507659938,0.2783195183454685
28.0,4.120086903330807,4.121602654469045,0.0015157511382382083,0.036789300172596545,29769.28267027445,29770.552664663915,1.2699943894658645,0.004266123586289815,1.2077123727276812e6,1.191702097295816e6,-16010.275431865128,-1.3256695711169282,1.0020327969999365
29.0,4.089429719950247,4.09284119669614,0.0034114767458932604,0.08342182112215797,29773.258690332466,29774.524628745035,1.265938412569085,0.004251930988595957,1.098801321937025e6,1.0832670226986397e6,-15534.2992383854,-1.4137495949677887,1.902265966742578
30.0,4.149548479963246,4.149554965027325,6.485064078631808e-6,0.00015628360796231133,29763.524596368898,29764.838488119865,1.3138917509677412,0.004414436021223219,1.2666427618843927e6,1.2505264270195619e6,-16116.334864830831,-1.272366238516569,0.2791683392182991
31.0,4.118920564449193,4.120437460968528,0.0015168965193348427,0.03682752545478359,29762.923539673,29764.253206820613,1.3296671476127813,0.004467528688303683,1.2444483402564945e6,1.2284160881687058e6,-16032.252087788656,-1.2883019382294514,1.005085311063028
32.0,4.088251495312662,4.091669875478225,0.003418380165562951,0.08361472305415299,29766.97874629791,29768.303146052505,1.3243997545941966,0.004449224645477032,1.1337913724087218e6,1.1182430545686255e6,-15548.317840096308,-1.3713561611484266,1.9080542385365211
33.0,4.148453336945508,4.148455686662046,2.3497165377861506e-6,5.6640785057407415e-5,29757.279440168517,29758.64707926835,1.3676390998334682,0.004595981640671528,1.300788258853166e6,1.284736659492356e6,-16051.599360809894,-1.2339901787675815,0.28001682461361227
34.0,4.117811883048065,4.1193295188302645,0.0015176357821999886,0.036855393721303566,29756.73846079007,29758.11930326072,1.3808424706476217,0.00464043622410814,1.277227888786964e6,1.261294201101751e6,-15933.687685212819,-1.2475211217275957,1.0081365783702787
35.0,4.087126567095334,4.090548622353681,0.0034220552583468233,0.08372765565659573,29760.862375386463,29762.237208931634,1.3748335451709863,0.004619602509596745,1.1650520567951747e6,1.1496004622534043e6,-15451.594541770406,-1.326257865616293,1.9138400697216924
36.0,4.147413283464269,4.147411185097489,-2.0983667798901706e-6,-5.059459080811541e-5,29751.18836843801,29752.602285084915,1.4139166469067277,0.004752471159796434,1.3314099816961503e6,1.315522488297118e6,-15887.493399032159,-1.1932833325158252,0.2808649410346574
37.0,4.116753075826908,4.118268483495921,0.0015154076690127027,0.036810749663636594,29750.69850140821,29752.12351462535,1.4250132171400764,0.004789847932722069,1.3066773699063407e6,1.2909323406293804e6,-15745.029276960297,-1.2049668601889738,1.0111864784628115
38.0,4.0860479074736284,4.08947313109968,0.0034252236260519098,0.08382729971880576,29754.882877353804,29756.30146942755,1.418592073747277,0.004767594211661158,1.193160579822916e6,1.1778893484820945e6,-15271.2313408216,-1.2798974085355797,1.9196232318833844
